every year , hollywood crowns a new " it boy " --a young actor pegged for major movie stardom . 	Translation	Positive	Negative	EmotionRationale
inheriting the mantle from last year's " winner , " matthew mcconaughey , is matt damon , and , like mcconaughey , he proves to be more than just a fresh young face , as evidenced in two radically different projects currently in release--john grisham's the rainmaker and good will hunting . 	inheriting the mantle from last year's " winner , " matthew mcconaughey , is matt damon , and , like mcconaughey , he proves to be more than just a fresh young face , as evidenced in two radically different projects currently in release-john grisham's the rainmaker and good will hunting .	2	-2	 inheriting[0] the[0] mantle[0] from[0] last[0] year's[0] winner[1] matthew[0] mcconaughey[0] is[0] matt[0] damon[0] and[0] like[1] mcconaughey[0] he[0] proves[0] to[0] be[0] more[0] than[0] just[0] a[0] fresh[0] young[0] face[0] as[0] evidenced[0] in[0] two[0] radically[-1] different[0] projects[0] currently[0] in[0] release[0] john[0] grisham's[0] the[0] rainmaker[0] and[0] good[1] will[0] hunting[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
damon has his first major starring role , a la mcconaughey , in a john grisham adaptation--in this case , francis ford coppola's take on the rainmaker . 	damon has his first major starring role , a la mcconaughey , in a john grisham adaptation-in this case , francis ford coppola's take on the rainmaker .	1	-1	 damon[0] has[0] his[0] first[0] major[0] starring[0] role[0] a[0] la[0] mcconaughey[0] in[0] a[0] john[0] grisham[0] adaptation[0] in[0] this[0] case[0] francis[0] ford[0] coppola's[0] take[0] on[0] the[0] rainmaker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
damon plays wet-behind-the-ears attorney rudy baylor , who , immediately after passing the bar exam , finds himself representing the mother ( mary kay place ) of a terminally ill young man ( john whitworth ) in a big-league suit against a negligent insurance company . 	damon plays wet-behind-the-ears attorney rudy baylor , who , immediately after passing the bar exam , finds himself representing the mother ( mary kay place ) of a terminally ill young man ( john whitworth ) in a big-league suit against a negligent insurance company .	2	-3	 damon[0] plays[1] wet[0] behind[0] the[0] ears[0] attorney[0] rudy[0] baylor[0] who[0] immediately[0] after[0] passing[0] the[0] bar[0] exam[0] finds[0] himself[0] representing[0] the[0] mother[0] mary[0] kay[0] place[0] of[0] a[0] terminally[0] ill[-1] young[0] man[0] john[0] whitworth[0] in[0] a[0] big[0] league[0] suit[0] against[-1] a[0] negligent[-2] insurance[0] company[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
while rudy's ( and the film's ) main concern is this case , he also finds time to protect a young wife ( claire danes ) from her abusive husband ( melrose placer andrew shue , in a mercifully brief role ) . 	while rudy's ( and the film's ) main concern is this case , he also finds time to protect a young wife ( claire danes ) from her abusive husband ( melrose placer andrew shue , in a mercifully brief role ) .	1	-4	 while[0] rudy's[0] and[0] the[0] film's[0] main[0] concern[-1] is[0] this[0] case[0] he[0] also[0] finds[0] time[0] to[0] protect[0] a[0] young[0] wife[0] claire[0] danes[0] from[0] her[0] abusive[-3] husband[0] melrose[0] placer[0] andrew[0] shue[0] in[0] a[0] mercifully[0] brief[0] role[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
written for the screen and directed by coppola , the rainmaker is the best grisham film yet mostly because it does not take itself too seriously . 	written for the screen and directed by coppola , the rainmaker is the best grisham film yet mostly because it does not take itself too seriously .	2	-1	 written[0] for[0] the[0] screen[0] and[0] directed[0] by[0] coppola[0] the[0] rainmaker[0] is[0] the[0] best[1] grisham[0] film[0] yet[0] mostly[0] because[0] it[0] does[0] not[0] take[0] itself[0] too[0] seriously[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
coppola's most notable--and effective--contribution to the tried-and-true grisham formula is a sense of humor about itself , which largely comes in the presence of danny devito ( as rudy's unlicensed co-counsel ) and golden globe nominee jon voight ( as the insurance company's hotshot attorney ) . 	coppola's most notable-and effective-contribution to the tried-and-true grisham formula is a sense of humor about itself , which largely comes in the presence of danny devito ( as rudy's unlicensed co-counsel ) and golden globe nominee jon voight ( as the insurance company's hotshot attorney ) .	3	-1	 coppola's[0] most[0] notable[0] and[0] effective[0] contribution[0] to[0] the[0] tried[0] and[0] true[1] grisham[0] formula[0] is[0] a[0] sense[0] of[0] humor[2] about[0] itself[0] which[0] largely[0] comes[0] in[0] the[0] presence[0] of[0] danny[0] devito[0] as[0] rudy's[0] unlicensed[0] co[0] counsel[0] and[0] golden[0] globe[0] nominee[0] jon[0] voight[0] as[0] the[0] insurance[0] company's[0] hotshot[0] attorney[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the inclusion of the battered wife subplot feels rather superfluous , but danes is as superb as always . 	the inclusion of the battered wife subplot feels rather superfluous , but danes is as superb as always .	1	-2	 the[0] inclusion[0] of[0] the[0] battered[0] wife[0] subplot[0] feels[0] rather[0] superfluous[-1] but[0] danes[0] is[0] as[0] superb[0] as[0] always[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then , of course , there is damon , who nicely juggles the weighty ( the insurance case , the spousal abuse ) and the humorous ( rudy's often comical naivete ) requirements of his role without missing a beat . 	then , of course , there is damon , who nicely juggles the weighty ( the insurance case , the spousal abuse ) and the humorous ( rudy's often comical naivete ) requirements of his role without missing a beat .	3	-4	 then[0] of[0] course[0] there[0] is[0] damon[0] who[0] nicely[1] juggles[0] the[0] weighty[0] the[0] insurance[0] case[0] the[0] spousal[0] abuse[-3] and[0] the[0] humorous[2] rudy's[0] often[0] comical[0] naivete[-1] requirements[0] of[0] his[0] role[0] without[0] missing[0] a[0] beat[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
as good as he is in the rainmaker , damon showcases the depth of his talent in good will hunting , directed by gus van sant and written by actor ben affleck and damon himself . 	as good as he is in the rainmaker , damon showcases the depth of his talent in good will hunting , directed by gus van sant and written by actor ben affleck and damon himself .	2	-1	 as[0] good[1] as[0] he[0] is[0] in[0] the[0] rainmaker[0] damon[0] showcases[0] the[0] depth[0] of[0] his[0] talent[1] in[0] good[1] will[0] hunting[0] directed[0] by[0] gus[0] van[0] sant[0] and[0] written[0] by[0] actor[0] ben[0] affleck[0] and[0] damon[0] himself[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
damon plays the title character , will hunting , a troubled young construction worker/janitor at mit who also happens to be a supergenius . 	damon plays the title character , will hunting , a troubled young construction worker/janitor at mit who also happens to be a supergenius .	2	-2	 damon[0] plays[1] the[0] title[0] character[0] will[0] hunting[0] a[0] troubled[-1] young[0] construction[0] worker/janitor[0] at[0] mit[0] who[0] also[0] happens[0] to[0] be[0] a[0] supergenius[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in an attempt to steer this brilliant young mind in the right direction , an mit math professor ( stellan skarsgard ) taps his old college friend , community college psychologist sean mcguire ( robin williams ) , to counsel the abrasive , standoffish will and try to help him come to terms with his turbulent life . 	in an attempt to steer this brilliant young mind in the right direction , an mit math professor ( stellan skarsgard ) taps his old college friend , community college psychologist sean mcguire ( robin williams ) , to counsel the abrasive , standoffish will and try to help him come to terms with his turbulent life .	2	-2	 in[0] an[0] attempt[0] to[0] steer[0] this[0] brilliant[1] young[0] mind[0] in[0] the[0] right[0] direction[0] an[0] mit[0] math[0] professor[0] stellan[0] skarsgard[0] taps[0] his[0] old[0] college[0] friend[1] community[0] college[0] psychologist[0] sean[0] mcguire[0] robin[0] williams[0] to[0] counsel[0] the[0] abrasive[-1] standoffish[0] will[0] and[0] try[0] to[0] help[0] him[0] come[0] to[0] terms[0] with[0] his[0] turbulent[-1] life[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
good will hunting is the touchy-feely enterprise its plot synopsis suggests , but to simply dismiss it as that would be to discount the true emotional chords affleck and damon's intelligent script touches . 	good will hunting is the touchy-feely enterprise its plot synopsis suggests , but to simply dismiss it as that would be to discount the true emotional chords affleck and damon's intelligent script touches .	2	-2	 good[1] will[0] hunting[0] is[0] the[0] touchy[-1] feely[0] enterprise[0] its[0] plot[0] synopsis[0] suggests[0] but[0] to[0] simply[0] dismiss[-1] it[0] as[0] that[0] would[0] be[0] to[0] discount[0] the[0] true[1] emotional[-1] chords[0] affleck[0] and[0] damon's[0] intelligent[1] script[0] touches[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even though no one ( and , if so , _very_ few people ) can directly relate to will's burden of superhuman intelligence , the insecurities he suffers are universal . 	even though no one ( and , if so , _very_ few people ) can directly relate to will's burden of superhuman intelligence , the insecurities he suffers are universal .	1	-4	 even[0] though[0] no[0] one[0] and[0] if[0] so[0] _very_[0] few[0] people[0] can[0] directly[0] relate[0] to[0] will's[0] burden[-1] of[0] superhuman[0] intelligence[0] the[0] insecurities[-1] he[0] suffers[-3] are[0] universal[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the material is brought to life by the terrific ensemble of actors . 	the material is brought to life by the terrific ensemble of actors .	4	-1	 the[0] material[0] is[0] brought[0] to[0] life[0] by[0] the[0] terrific[3] ensemble[0] of[0] actors[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
