synopsis : nice girl susanne has sex with her boyfriend daniel in his car , visits daniel's rich family during thanksgiving at their mansion in the middle of nowhere , and has sex with daniel again in the basement . 	Translation	Positive	Negative	EmotionRationale
susanne and daniel must then decide where to hide from evil art thieves who shoot everyone else in the mansion to steal paintings . 	susanne and daniel must then decide where to hide from evil art thieves who shoot everyone else in the mansion to steal paintings .	1	-3	 susanne[0] and[0] daniel[0] must[0] then[0] decide[0] where[0] to[0] hide[0] from[0] evil[-2] art[0] thieves[-1] who[0] shoot[-1] everyone[0] else[0] in[0] the[0] mansion[0] to[0] steal[-2] paintings[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
brace yourself for one of those painfully obvious " surprise endings . " 	brace yourself for one of those painfully obvious " surprise endings .<br> "	1	-4	 brace[0] yourself[0] for[0] one[0] of[0] those[0] painfully[-3] obvious[0] surprise[0] endings[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
comments : thanksgiving . 	comments : thanksgiving .	1	-1	 comments[0] thanksgiving[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for most , it's a time to be with your loved ones and enjoy a good , home-cooked meal . 	for most , it's a time to be with your loved ones and enjoy a good , home-cooked meal .	4	-1	 for[0] most[0] it's[0] a[0] time[0] to[0] be[0] with[0] your[0] loved[3] ones[0] and[0] enjoy[2] a[0] good[1] home[0] cooked[0] meal[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
for the makers of body count , however , thanksgiving is a time for multiple murders , violence , profanity , family dysfunction , and sex . 	for the makers of body count , however , thanksgiving is a time for multiple murders , violence , profanity , family dysfunction , and sex .	1	-5	 for[0] the[0] makers[0] of[0] body[0] count[0] however[0] thanksgiving[0] is[0] a[0] time[0] for[0] multiple[0] murders[-3] violence[-3][-1 MultiplePositiveWords] profanity[0] family[0] dysfunction[0] and[0] sex[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
boy , do i feel all the more better having sat through this crap . 	boy , do i feel all the more better having sat through this crap .	1	-3	 boy[0] do[0] i[0] feel[0] all[0] the[0] more[0] better[0] having[0] sat[0] through[0] this[0] crap[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
alyssa milano , the former child star of who's the boss ? , matures to made-for-video sludge like this movie . 	alyssa milano , the former child star of who's the boss ?<br> , matures to made-for-video sludge like this movie .	2	-1	 alyssa[0] milano[0] the[0] former[0] child[0] star[0] of[0] who's[0] the[0] boss[0] [[Sentence=-1,1=word max, 1-5]] matures[0] to[0] made[0] for[0] video[0] sludge[0] like[1] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
someone somewhere thought it'd be a great idea to pair her with rapper ice-t , who has since guest-starred in the made-for-the-sci-fi-channel series welcome to paradox . 	someone somewhere thought it'd be a great idea to pair her with rapper ice-t , who has since guest-starred in the made-for-the-sci-fi-channel series welcome to paradox .	3	-1	 someone[0] somewhere[0] thought[0] it'd[0] be[0] a[0] great[2] idea[0] to[0] pair[0] her[0] with[0] rapper[0] ice[0] t[0] who[0] has[0] since[0] guest[0] starred[0] in[0] the[0] made[0] for[0] the[0] sci[0] fi[0] channel[0] series[0] welcome[1] to[0] paradox[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this isn't exactly a winning combination . 	this isn't exactly a winning combination .	2	-1	 this[0] isn't[0] exactly[0] a[0] winning[1] combination[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
outside of permanently ruining a holiday for me , what else may be said for this turkey ? 	outside of permanently ruining a holiday for me , what else may be said for this turkey ?	1	-2	 outside[0] of[0] permanently[0] ruining[-1] a[0] holiday[0] for[0] me[0] what[0] else[0] may[0] be[0] said[0] for[0] this[0] turkey[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , it teaches us that beautiful , attractive women who look strikingly like alyssa milano fall in love with nerds who drive down long winding roads with their eyes closed and complain about being english teachers . 	well , it teaches us that beautiful , attractive women who look strikingly like alyssa milano fall in love with nerds who drive down long winding roads with their eyes closed and complain about being english teachers .	3	-3	 well[0] it[0] teaches[0] us[0] that[0] beautiful[2] attractive[1] women[0] who[0] look[0] strikingly[0] like[1] alyssa[0] milano[0] fall[0] in[0] love[2] with[0] nerds[-2] who[0] drive[0] down[0] long[0] winding[0] roads[0] with[0] their[0] eyes[0] closed[0] and[0] complain[-1] about[0] being[0] english[0] teachers[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it presents us with a heartwarming thanksgiving dinner attended by alcoholic , stuck-up rich white people waited on by black servants . 	it presents us with a heartwarming thanksgiving dinner attended by alcoholic , stuck-up rich white people waited on by black servants .	3	-1	 it[0] presents[0] us[0] with[0] a[0] heartwarming[2] thanksgiving[0] dinner[0] attended[0] by[0] alcoholic[0] stuck[0] up[0] rich[0] white[0] people[0] waited[0] on[0] by[0] black[0] servants[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
