starring kiefer sutherland ; reese witherspoon & bokeem woodbine i used to think that the conversation was the worse film i had ever seen . 	Translation	Positive	Negative	EmotionRationale
freeway is giving me second thoughts . 	freeway is giving me second thoughts .	1	-1	 freeway[0] is[0] giving[0] me[0] second[0] thoughts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
freeway is a modern retelling of little red riding hood . 	freeway is a modern retelling of little red riding hood .	1	-1	 freeway[0] is[0] a[0] modern[0] retelling[0] of[0] little[0] red[0] riding[0] hood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only in the nineties , little red riding hood is a foul-mouthed juvenile delinquent played by reese witherspoon , and the big bad wolf is a serial killer ( keifer sutherland ) . 	only in the nineties , little red riding hood is a foul-mouthed juvenile delinquent played by reese witherspoon , and the big bad wolf is a serial killer ( keifer sutherland ) .	1	-2	 only[0] in[0] the[0] nineties[0] little[0] red[0] riding[0] hood[0] is[0] a[0] foul[0] mouthed[0] juvenile[0] delinquent[-1] played[0] by[0] reese[0] witherspoon[0] and[0] the[0] big[0] bad[-1] wolf[0] is[0] a[0] serial[0] killer[-1] keifer[0] sutherland[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to top that pathetic premise off -- reese goes to visit granny and you'll never guess who's waiting under the cover's in granny's bed . 	to top that pathetic premise off - reese goes to visit granny and you'll never guess who's waiting under the cover's in granny's bed .	1	-3	 to[0] top[0] that[0] pathetic[-2] premise[0] off[0] reese[0] goes[0] to[0] visit[0] granny[0] and[0] you'll[0] never[0] guess[0] who's[0] waiting[0] under[0] the[0] cover's[0] in[0] granny's[0] bed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
keifer sutherland is one of hollywoods most talented , yet underrated actors , and reese witherspoon is exceptionally talented and will most likely become a major star . 	keifer sutherland is one of hollywoods most talented , yet underrated actors , and reese witherspoon is exceptionally talented and will most likely become a major star .	2	-1	 keifer[0] sutherland[0] is[0] one[0] of[0] hollywoods[0] most[0] talented[1] yet[0] underrated[0] actors[0] and[0] reese[0] witherspoon[0] is[0] exceptionally[0] talented[1] and[0] will[0] most[0] likely[0] become[0] a[0] major[0] star[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so what are they doing in this movie ? 	so what are they doing in this movie ?	1	-1	 so[0] what[0] are[0] they[0] doing[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after seeing the end result , undoubtedly they are both asking themselves the same question . 	after seeing the end result , undoubtedly they are both asking themselves the same question .	1	-1	 after[0] seeing[0] the[0] end[0] result[0] undoubtedly[0] they[0] are[0] both[0] asking[0] themselves[0] the[0] same[0] question[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you might be asking yourself why this is such a short review . 	you might be asking yourself why this is such a short review .	1	-1	 you[0] might[0] be[0] asking[0] yourself[0] why[0] this[0] is[0] such[0] a[0] short[0] review[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the answer is quite simple -- i dont want to waste any more of my time writing or thinking about this movie than absolutely necessary . 	the answer is quite simple - i dont want to waste any more of my time writing or thinking about this movie than absolutely necessary .	1	-2	 the[0] answer[0] is[0] quite[0] simple[0] i[0] dont[0] want[0] to[0] waste[-1] any[0] more[0] of[0] my[0] time[0] writing[0] or[0] thinking[0] about[0] this[0] movie[0] than[0] absolutely[0] necessary[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i wasted enough of my time just sitting through it . 	i wasted enough of my time just sitting through it .	1	-2	 i[0] wasted[-1] enough[0] of[0] my[0] time[0] just[0] sitting[0] through[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
note to keifer : you wonder why you aren't a bigger star in hollywood ? 	note to keifer : you wonder why you aren't a bigger star in hollywood ?	1	-1	 note[0] to[0] keifer[0] you[0] wonder[0] why[0] you[0] aren't[0] a[0] bigger[0] star[0] in[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because you keep making movies like this . 	because you keep making movies like this .	2	-1	 because[0] you[0] keep[0] making[0] movies[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
note to reese : you were great in fear , what happened this time ? 	note to reese : you were great in fear , what happened this time ?	3	-4	 note[0] to[0] reese[0] you[0] were[0] great[2] in[0] fear[-3] what[0] happened[0] this[0] time[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
note to both : don't worry about it too much , no one saw this movie anyway . 	note to both : don't worry about it too much , no one saw this movie anyway .	4	-1	 note[0] to[0] both[0] don't[0] worry[-3][NegatedDueToPreviousWord] about[0] it[0] too[0] much[0] no[0] one[0] saw[0] this[0] movie[0] anyway[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
bottom line -- i'm still shaking my head . 	bottom line - i'm still shaking my head .	1	-2	 bottom[0] line[0] i'm[0] still[0] shaking[-1] my[0] head[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
don't waste your time on this turkey . 	don't waste your time on this turkey .	2	-1	 don't[0] waste[-1][NegatedDueToPreviousWord] your[0] time[0] on[0] this[0] turkey[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you want to see a great keifer sutherland movie , go rent flatliners or young guns . 	if you want to see a great keifer sutherland movie , go rent flatliners or young guns .	3	-2	 if[0] you[0] want[0] to[0] see[0] a[0] great[2] keifer[0] sutherland[0] movie[0] go[0] rent[0] flatliners[0] or[0] young[0] guns[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
reese witherspoon's abundant acting talents are used to their full potential in fear , a great thriller . 	reese witherspoon's abundant acting talents are used to their full potential in fear , a great thriller .	3	-4	 reese[0] witherspoon's[0] abundant[0] acting[0] talents[1] are[0] used[0] to[0] their[0] full[0] potential[0] in[0] fear[-3] a[0] great[2] thriller[1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
do yourself a favor and rent one of these movies -- but stay as far away from freeway as you possibly can . 	do yourself a favor and rent one of these movies - but stay as far away from freeway as you possibly can .	2	-1	 do[0] yourself[0] a[0] favor[1] and[0] rent[0] one[0] of[0] these[0] movies[0] but[0] stay[0] as[0] far[0] away[0] from[0] freeway[0] as[0] you[0] possibly[0] can[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
