ingredients : neophyte lawyer , legal situations , corrupt insurance company , 	Translation	Positive	Negative	EmotionRationale
synopsis : rudy baylor ( matt damon ) is an ethical kid fresh out of law school who must juggle three legal situations at the same time . 	synopsis : rudy baylor ( matt damon ) is an ethical kid fresh out of law school who must juggle three legal situations at the same time .	1	-1	 synopsis[0] rudy[0] baylor[0] matt[0] damon[0] is[0] an[0] ethical[0] kid[0] fresh[0] out[0] of[0] law[0] school[0] who[0] must[0] juggle[0] three[0] legal[0] situations[0] at[0] the[0] same[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rudy's girlfriend is attacked by her violent husband ; rudy's elderly landlady wants to arrange her will so that her children are excluded , and ; the family of rudy's friend with leukemia is suing the corrupt insurance company that wouldn't pay for a bone marrow transplant . 	rudy's girlfriend is attacked by her violent husband ; rudy's elderly landlady wants to arrange her will so that her children are excluded , and ; the family of rudy's friend with leukemia is suing the corrupt insurance company that wouldn't pay for a bone marrow transplant .	2	-3	 rudy's[0] girlfriend[0] is[0] attacked[-2] by[0] her[0] violent[-2] husband[0] rudy's[0] elderly[0] landlady[0] wants[0] to[0] arrange[0] her[0] will[0] so[0] that[0] her[0] children[0] are[0] excluded[0] and[0] the[0] family[0] of[0] rudy's[0] friend[1] with[0] leukemia[0] is[0] suing[0] the[0] corrupt[-2] insurance[0] company[0] that[0] wouldn't[0] pay[0] for[0] a[0] bone[0] marrow[0] transplant[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
rudy is new to being a lawyer and is thoroughly outgunned , but luckily he is aided by a sleazy ambulance chaser ( danny devito ) who has failed the bar exam six times as well as by the kindly presiding judge ( danny glover ) . 	rudy is new to being a lawyer and is thoroughly outgunned , but luckily he is aided by a sleazy ambulance chaser ( danny devito ) who has failed the bar exam six times as well as by the kindly presiding judge ( danny glover ) .	3	-3	 rudy[0] is[0] new[0] to[0] being[0] a[0] lawyer[0] and[0] is[0] thoroughly[0] outgunned[0] but[0] luckily[2] he[0] is[0] aided[0] by[0] a[0] sleazy[-2] ambulance[0] chaser[-1] danny[0] devito[0] who[0] has[0] failed[-2] the[0] bar[0] exam[0] six[0] times[0] as[0] well[0] as[0] by[0] the[0] kindly[1] presiding[0] judge[0] danny[0] glover[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
jon voight plays leo f . drummond , the intimidating and arrogant leader of the all-powerful insurance company's team of lawyers who will do anything to oppose justice . 	jon voight plays leo f .<br> drummond , the intimidating and arrogant leader of the all-powerful insurance company's team of lawyers who will do anything to oppose justice .	2	-4	 jon[0] voight[0] plays[1] leo[0] f[0] [[Sentence=-1,2=word max, 1-5]] drummond[0] the[0] intimidating[-3] and[0] arrogant[-2] leader[0] of[0] the[0] all[0] powerful[0] insurance[0] company's[0] team[0] of[0] lawyers[0] who[0] will[0] do[0] anything[0] to[0] oppose[-1] justice[0] [[Sentence=-4,1=word max, 1-5]][[[2,-4 max of sentences]]]
will rudy defeat leo ? 	will rudy defeat leo ?	1	-1	 will[0] rudy[0] defeat[0] leo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will he enjoy being a lawyer ? 	will he enjoy being a lawyer ?	3	-1	 will[0] he[0] enjoy[2] being[0] a[0] lawyer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
opinion : the good news is that this movie has a happy ending , and it features a guy trying to do the right thing . 	opinion : the good news is that this movie has a happy ending , and it features a guy trying to do the right thing .	2	-1	 opinion[0] the[0] good[1] news[0] is[0] that[0] this[0] movie[0] has[0] a[0] happy[1] ending[0] and[0] it[0] features[0] a[0] guy[0] trying[0] to[0] do[0] the[0] right[0] thing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
director francis ford coppola does this film a little differently than the stereotypical law movie . 	director francis ford coppola does this film a little differently than the stereotypical law movie .	1	-1	 director[0] francis[0] ford[0] coppola[0] does[0] this[0] film[0] a[0] little[0] differently[0] than[0] the[0] stereotypical[0] law[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the typical lawyer movie there's one big case and the movie focuses on solving it , and somewhere along the line surprise witnesses and motives turn up before the good guy wins ( after lots of gripping courtroom drama ) . 	in the typical lawyer movie there's one big case and the movie focuses on solving it , and somewhere along the line surprise witnesses and motives turn up before the good guy wins ( after lots of gripping courtroom drama ) .	2	-1	 in[0] the[0] typical[0] lawyer[0] movie[0] there's[0] one[0] big[0] case[0] and[0] the[0] movie[0] focuses[0] on[0] solving[0] it[0] and[0] somewhere[0] along[0] the[0] line[0] surprise[0] witnesses[0] and[0] motives[0] turn[0] up[0] before[0] the[0] good[1] guy[0] wins[0] after[0] lots[0] of[0] gripping[0] courtroom[0] drama[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , coppola's movie is deliberately more low key . 	however , coppola's movie is deliberately more low key .	1	-2	 however[0] coppola's[0] movie[0] is[0] deliberately[0] more[0] low[-1] key[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
'the rainmaker' plays out like a personality sketch of young rudy as he gets emotionally involved with and tries to save various little quirky side characters . 	'the rainmaker' plays out like a personality sketch of young rudy as he gets emotionally involved with and tries to save various little quirky side characters .	2	-1	 'the[0] rainmaker'[0] plays[1] out[0] like[1] a[0] personality[0] sketch[0] of[0] young[0] rudy[0] as[0] he[0] gets[0] emotionally[0] involved[0] with[0] and[0] tries[0] to[0] save[1] various[0] little[0] quirky[0] side[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the background rudy's voice narrates his feelings and makes half-cynical jokes about the legal profession in general . 	in the background rudy's voice narrates his feelings and makes half-cynical jokes about the legal profession in general .	2	-2	 in[0] the[0] background[0] rudy's[0] voice[0] narrates[0] his[0] feelings[0] and[0] makes[0] half[0] cynical[-1] jokes[1] about[0] the[0] legal[0] profession[0] in[0] general[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
two factors combine to make this movie less heavy than it can be . 	two factors combine to make this movie less heavy than it can be .	1	-1	 two[0] factors[0] combine[0] to[0] make[0] this[0] movie[0] less[0] heavy[0] than[0] it[0] can[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
