salaries of hollywood top actors are getting obscenely large these days and many find this to be the main reason for skyrocketing movie budgets . 	Translation	Positive	Negative	EmotionRationale
actors who demand such salaries might be greedy , but in some instances they are quite justified , because many films would never be watched or even made without their participation . 	actors who demand such salaries might be greedy , but in some instances they are quite justified , because many films would never be watched or even made without their participation .	1	-3	 actors[0] who[0] demand[0] such[0] salaries[0] might[0] be[0] greedy[-2] but[0] in[0] some[0] instances[0] they[0] are[0] quite[0] justified[0] because[0] many[0] films[0] would[0] never[0] be[0] watched[0] or[0] even[0] made[0] without[0] their[0] participation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
proof for that can be found even in the realm of low-budget movies , and one fine example is breakaway , 1995 thriller directed by sean dash and starring ( in ) famous figure skater tonya harding . 	proof for that can be found even in the realm of low-budget movies , and one fine example is breakaway , 1995 thriller directed by sean dash and starring ( in ) famous figure skater tonya harding .	3	-2	 proof[0] for[0] that[0] can[0] be[0] found[0] even[0] in[0] the[0] realm[0] of[0] low[-1] budget[0] movies[0] and[0] one[0] fine[2] example[0] is[0] breakaway[0] 1995[0] thriller[1] directed[0] by[0] sean[0] dash[0] and[0] starring[0] in[0] famous[0] figure[0] skater[0] tonya[0] harding[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
face of tonya harding is most prominently featured on movie's poster , but the main star of the film is terri thompson who plays myra , attractive woman who works as a courier for gangster . 	face of tonya harding is most prominently featured on movie's poster , but the main star of the film is terri thompson who plays myra , attractive woman who works as a courier for gangster .	2	-1	 face[0] of[0] tonya[0] harding[0] is[0] most[0] prominently[0] featured[0] on[0] movie's[0] poster[0] but[0] the[0] main[0] star[0] of[0] the[0] film[0] is[0] terri[0] thompson[0] who[0] plays[1] myra[0] attractive[1] woman[0] who[0] works[0] as[0] a[0] courier[0] for[0] gangster[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one day she decides to retire , but her employers are anything but enthusiastic about that . 	one day she decides to retire , but her employers are anything but enthusiastic about that .	3	-2	 one[0] day[0] she[0] decides[0] to[0] retire[-1] but[0] her[0] employers[0] are[0] anything[0] but[0] enthusiastic[2] about[0] that[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
realising that her life suddenly became worthless , myra starts running for her life , followed by professional assassins . 	realising that her life suddenly became worthless , myra starts running for her life , followed by professional assassins .	1	-3	 realising[0] that[0] her[0] life[0] suddenly[0] became[0] worthless[-2] myra[0] starts[0] running[0] for[0] her[0] life[0] followed[0] by[0] professional[0] assassins[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
terri thompson being the actual star of the film instead of tonya harding becomes quite understandable after the scenes that feature former figure skater . 	terri thompson being the actual star of the film instead of tonya harding becomes quite understandable after the scenes that feature former figure skater .	1	-1	 terri[0] thompson[0] being[0] the[0] actual[0] star[0] of[0] the[0] film[0] instead[0] of[0] tonya[0] harding[0] becomes[0] quite[0] understandable[0] after[0] the[0] scenes[0] that[0] feature[0] former[0] figure[0] skater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although tonya harding displays convincing martial arts abilities , her acting leaves much to be desired . 	although tonya harding displays convincing martial arts abilities , her acting leaves much to be desired .	1	-1	 although[0] tonya[0] harding[0] displays[0] convincing[0] martial[0] arts[0] abilities[0] her[0] acting[0] leaves[0] much[0] to[0] be[0] desired[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the other hand , her disappointing efforts are hardly out of place in the film that lacks originality , believable characters and situations and actually represents anything that gave b-films a bad name . 	on the other hand , her disappointing efforts are hardly out of place in the film that lacks originality , believable characters and situations and actually represents anything that gave b-films a bad name .	1	-2	 on[0] the[0] other[0] hand[0] her[0] disappointing[-1] efforts[0] are[0] hardly[0] out[0] of[0] place[0] in[0] the[0] film[0] that[0] lacks[0] originality[0] believable[0] characters[0] and[0] situations[0] and[0] actually[0] represents[0] anything[0] that[0] gave[0] b[0] films[0] a[0] bad[-1] name[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
martin sheen's brother joe estevez , whose character looks like he had entered from another movies' set , is the only bright spot of breakaway . 	martin sheen's brother joe estevez , whose character looks like he had entered from another movies' set , is the only bright spot of breakaway .	2	-1	 martin[0] sheen's[0] brother[0] joe[0] estevez[0] whose[0] character[0] looks[0] like[1] he[0] had[0] entered[0] from[0] another[0] movies'[0] set[0] is[0] the[0] only[0] bright[0] spot[0] of[0] breakaway[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , he appears in this film too little too late to prevent viewers from realising why tonya harding's silver screen debut proved to be her last film . 	unfortunately , he appears in this film too little too late to prevent viewers from realising why tonya harding's silver screen debut proved to be her last film .	1	-2	 unfortunately[-1] he[0] appears[0] in[0] this[0] film[0] too[0] little[0] too[0] late[0] to[0] prevent[0] viewers[0] from[0] realising[0] why[0] tonya[0] harding's[0] silver[0] screen[0] debut[0] proved[0] to[0] be[0] her[0] last[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
