melvin udall is a heartless man . 	Translation	Positive	Negative	EmotionRationale
he spends his days inside of his spacious manhattan apartment writing romance novels . 	he spends his days inside of his spacious manhattan apartment writing romance novels .	4	-1	 he[0] spends[0] his[0] days[0] inside[0] of[0] his[0] spacious[0] manhattan[0] apartment[0] writing[0] romance[3] novels[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it also seems that melvin will never change . 	it also seems that melvin will never change .	1	-1	 it[0] also[0] seems[0] that[0] melvin[0] will[0] never[0] change[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one day he dines ar his favorite restaurant , and is a little too mean to his normal waitress ( the only waittress that will serve him ) , carol ( played to perfection by a lovely and sexy helen hunt . ) 	one day he dines ar his favorite restaurant , and is a little too mean to his normal waitress ( the only waitress that will serve him ) , carol ( played to perfection by a lovely and sexy helen hunt .<br> )	3	-1	 one[0] day[0] he[0] dines[0] ar[0] his[0] favorite[1] restaurant[0] and[0] is[0] a[0] little[0] too[0] mean[0] to[0] his[0] normal[0] waitress[0] the[0] only[0] waittress/waitress[0] that[0] will[0] serve[0] him[0] carol[0] played[0] to[0] perfection[1] by[0] a[0] lovely[1] and[0] sexy[2] helen[0] hunt[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she threatens not to serve him if he doesn't shut up about her asthmatic son . he does shut up . 	she threatens not to serve him if he doesn't shut up about her asthmatic son .<br> he does shut up .	1	-3	 she[0] threatens[-2] not[0] to[0] serve[0] him[0] if[0] he[0] doesn't[0] shut[0] up[0] about[0] her[0] asthmatic[0] son[0] [[Sentence=-3,1=word max, 1-5]] he[0] does[0] shut[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
to make matters considerably worse , melvin has obsessive compulsive disorder . 	to make matters considerably worse , melvin has obsessive compulsive disorder .	1	-3	 to[0] make[0] matters[0] considerably[0] worse[-2] melvin[0] has[0] obsessive[-2] compulsive[0] disorder[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one day his gay artist neighbor simon ( greg kinear , of talk soup fame , in an oscar-worthy role ) 's dog threatens to dismiss himself at melvon's door . 	one day his gay artist neighbor simon ( greg kinear , of talk soup fame , in an oscar-worthy role ) 's dog threatens to dismiss himself at melvon's door .	1	-3	 one[0] day[0] his[0] gay[-1] artist[0] neighbor[0] simon[0] greg[0] kinear[0] of[0] talk[0] soup[0] fame[0] in[0] an[0] oscar[0] worthy[0] role[0] 's[0] dog[0] threatens[-2] to[0] dismiss[-1] himself[0] at[0] melvon's[0] door[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the dog meets the garbage chute . 	the dog meets the garbage chute .	1	-3	 the[0] dog[0] meets[0] the[0] garbage[-2] chute[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
soon simon is sadly beaten by thieveing burglars , and ray ( cuba gooding , jr . ) , simon's agent , takes the dog , verdell , to melvin , so that melvin can dogsit him . 	soon simon is sadly beaten by thieveing burglars , and ray ( cuba gooding , jr .<br> ) , simon's agent , takes the dog , verdell , to melvin , so that melvin can dogsit him .	1	-2	 soon[0] simon[0] is[0] sadly[-1] beaten[0] by[0] thieveing[-1] burglars[-1] and[0] ray[0] cuba[0] gooding[0] jr[0] [[Sentence=-2,1=word max, 1-5]] simon's[0] agent[0] takes[0] the[0] dog[0] verdell[0] to[0] melvin[0] so[0] that[0] melvin[0] can[0] dogsit[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
and through the dog and a rather heartwrenching car trip that involves simon , carol , and himself , melvin learns to emerge from his cantakerous shell . 	and through the dog and a rather heartwrenching car trip that involves simon , carol , and himself , melvin learns to emerge from his cantakerous shell .	1	-1	 and[0] through[0] the[0] dog[0] and[0] a[0] rather[0] heartwrenching[0] car[0] trip[0] that[0] involves[0] simon[0] carol[0] and[0] himself[0] melvin[0] learns[0] to[0] emerge[0] from[0] his[0] cantakerous[0] shell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jack nicholson gives yet another oscar-caliber performance as the film's cynical lead , and is back at work , not playing a goofy u . s . president or a comic book villian , but instead playing jack nicjolson , and playing him full force . 	jack nicholson gives yet another oscar-caliber performance as the film's cynical lead , and is back at work , not playing a goofy you .<br> s .<br> president or a comic book villian , but instead playing jack nicjolson , and playing him full force .	2	-2	 jack[0] nicholson[0] gives[0] yet[0] another[0] oscar[0] caliber[0] performance[0] as[0] the[0] film's[0] cynical[-1] lead[0] and[0] is[0] back[0] at[0] work[0] not[0] playing[1][NegatedDueToPreviousWord] a[0] goofy[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] president[0] or[0] a[0] comic[0] book[0] villian[0] but[0] instead[0] playing[1] jack[0] nicjolson[0] and[0] playing[1] him[0] full[0] force[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
all of this adds up to this year's funniest comedy , a creative , witty , and scathing film from james l . brooks , and brooks gets award-worthy performances from the entire cast . 	all of this adds up to this year's funniest comedy , a creative , witty , and scathing film from james l .<br> brooks , and brooks gets award-worthy performances from the entire cast .	2	-1	 all[0] of[0] this[0] adds[0] up[0] to[0] this[0] year's[0] funniest[1] comedy[0] a[0] creative[0] witty[0] and[0] scathing[0] film[0] from[0] james[0] l[0] [[Sentence=-1,2=word max, 1-5]] brooks[0] and[0] brooks[0] gets[0] award[0] worthy[0] performances[0] from[0] the[0] entire[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
a winner in every aspect , and a truly delicious slice of cyncial life . 	a winner in every aspect , and a truly delicious slice of cyncial life .	3	-1	 a[0] winner[1] in[0] every[0] aspect[0] and[0] a[0] truly[1] delicious[2] slice[0] of[0] cyncial[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
