perhaps best remembered as the recently departed news anchor on saturday night live who always started the segment with " . . . this is the fake news , " norm macdonald , at times , could elicit some laughter by blurting out semi-offensive phrases in his raspy voice , coated with a condescending attitude . 	Translation	Positive	Negative	EmotionRationale
his shtick was marked by crassness . 	his shtick was marked by crassness .	1	-1	 his[0] shtick[0] was[0] marked[0] by[0] crassness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this movie , for example , when his girlfriend says that she's kicking him out because he's been fired from 14 different jobs over the last 3 months , he tries to calm the situation by saying , " maybe you'll feel better after we have some dirty sex . " 	in this movie , for example , when his girlfriend says that she's kicking him out because he's been fired from 14 different jobs over the last 3 months , he tries to calm the situation by saying , " maybe you'll feel better after we have some dirty sex .<br> "	2	-3	 in[0] this[0] movie[0] for[0] example[0] when[0] his[0] girlfriend[0] says[0] that[0] she's[0] kicking[-1] him[0] out[0] because[0] he's[0] been[0] fired[-2] from[0] 14[0] different[0] jobs[0] over[0] the[0] last[0] 3[0] months[0] he[0] tries[0] to[0] calm[1] the[0] situation[0] by[0] saying[0] maybe[0] you'll[0] feel[0] better[0] after[0] we[0] have[0] some[0] dirty[-1][--1 LastWordBoosterStrength] sex[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this kind of humor can only go so far , but certainly can't go the distance in a full-length feature . 	this kind of humor can only go so far , but certainly can't go the distance in a full-length feature .	3	-1	 this[0] kind[1] of[0] humor[2] can[0] only[0] go[0] so[0] far[0] but[0] certainly[0] can't[0] go[0] the[0] distance[0] in[0] a[0] full[0] length[0] feature[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " dirty work " , is nothing more than a sophomoric comedy about two best friends who grow up only physically . 	 " dirty work " , is nothing more than a sophomoric comedy about two best friends who grow up only physically .	2	-2	 dirty[-1] work[0] is[0] nothing[0] more[0] than[0] a[0] sophomoric[0] comedy[0] about[0] two[0] best[1] friends[1] who[0] grow[0] up[0] only[0] physically[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
emotionally , they've never outgrown their pubescent years , which is somewhat amusingly explored in a beginning flashback . 	emotionally , they've never outgrown their pubescent years , which is somewhat amusingly explored in a beginning flashback .	2	-1	 emotionally[0] they've[0] never[0] outgrown[0] their[0] pubescent[0] years[0] which[0] is[0] somewhat[0] amusingly[1] explored[0] in[0] a[0] beginning[0] flashback[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although having no apparent real world skills , the one thing that these two have always been adept at is getting back at people . 	although having no apparent real world skills , the one thing that these two have always been adept at is getting back at people .	1	-1	 although[0] having[0] no[0] apparent[0] real[0] world[0] skills[0] the[0] one[0] thing[0] that[0] these[0] two[0] have[0] always[0] been[0] adept[0] at[0] is[0] getting[0] back[0] at[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if the meter maid was unjust in giving you a ticket , then dump a bunch of unpopped kernels of corn onto the engine block and watch the car burst apart . 	if the meter maid was unjust in giving you a ticket , then dump a bunch of unpopped kernels of corn onto the engine block and watch the car burst apart .	1	-2	 if[0] the[0] meter[0] maid[0] was[0] unjust[-1] in[0] giving[0] you[0] a[0] ticket[0] then[0] dump[-1] a[0] bunch[0] of[0] unpopped[0] kernels[0] of[0] corn[0] onto[0] the[0] engine[0] block[-1] and[0] watch[0] the[0] car[0] burst[0] apart[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mitch ( norm macdonald ) and sam ( artie lange ) need to come up with  50 , 000 in a period of two weeks so that sam's dad ( jack warden ) can have a heart operation . 	mitch ( norm macdonald ) and sam ( artie lange ) need to come up with  50 , 00 in a period of two weeks so that sam's dad ( jack warden ) can have a heart operation .	1	-1	 mitch[0] norm[0] macdonald[0] and[0] sam[0] artie[0] lange[0] need[0] to[0] come[0] up[0] with[0] 50[0] 000/00[0] in[0] a[0] period[0] of[0] two[0] weeks[0] so[0] that[0] sam's[0] dad[0] jack[0] warden[0] can[0] have[0] a[0] heart[0] operation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their idea is to start a revenge-for-hire business where they'll do your dirty work . 	their idea is to start a revenge-for-hire business where they'll do your dirty work .	1	-2	 their[0] idea[0] is[0] to[0] start[0] a[0] revenge[-1] for[0] hire[0] business[0] where[0] they'll[0] do[0] your[0] dirty[-1] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the funniest scene ( and possibly the only funny scene ) of the movie , they take advantage of a live television shoot at a nearby used car lot . 	in the funniest scene ( and possibly the only funny scene ) of the movie , they take advantage of a live television shoot at a nearby used car lot .	2	-2	 in[0] the[0] funniest[1] scene[0] and[0] possibly[0] the[0] only[0] funny[1] scene[0] of[0] the[0] movie[0] they[0] take[0] advantage[0] of[0] a[0] live[0] television[0] shoot[-1] at[0] a[0] nearby[0] used[0] car[0] lot[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
