don't let the following quirks of this review , fool you into believing that this movie is anything short of an ultimate labour of love . 	Translation	Positive	Negative	EmotionRationale
but one can see the humour of roberto benigni when you see that ? 	but one can see the humour of roberto benigni when you see that ?	3	-1	 but[0] one[0] can[0] see[0] the[0] humour[2] of[0] roberto[0] benigni[1] when[0] you[0] see[0] that[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
life is beautiful , even though i'm a short , ugly looking man with an obnoxious laugh . 	life is beautiful , even though i'm a short , ugly looking man with an obnoxious laugh .	3	-3	 life[0] is[0] beautiful[2] even[0] though[0] i'm[0] a[0] short[0] ugly[-2] looking[0] man[0] with[0] an[0] obnoxious[-2] laugh[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
life is beautiful even though i haven't amounted to much in life , except working out the finer intricacies of waitering . 	life is beautiful even though i haven't amounted to much in life , except working out the finer intricacies of waitering .	3	-1	 life[0] is[0] beautiful[2] even[0] though[0] i[0] haven't[0] amounted[0] to[0] much[0] in[0] life[0] except[0] working[0] out[0] the[0] finer[0] intricacies[0] of[0] waitering[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i'm a lucky sort of a guy , especially when a beautiful woman strips away my venner of superficiality to find a new age , sensitive guy with the biggest heart in the entire world underneath - life is beautiful ! 	i'm a lucky sort of a guy , especially when a beautiful woman strips away my venner of superficiality to find a new age , sensitive guy with the biggest heart in the entire world underneath - life is beautiful !	3	-2	 i'm[0] a[0] lucky[1] sort[0] of[0] a[0] guy[0] especially[0] when[0] a[0] beautiful[2] woman[0] strips[0] away[0] my[0] venner[0] of[0] superficiality[-1] to[0] find[0] a[0] new[0] age[0] sensitive[0] guy[0] with[0] the[0] biggest[0] heart[0] in[0] the[0] entire[0] world[0] underneath[0] life[0] is[0] beautiful[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i'm a jew , but life can still be beautiful . 	i'm a jew , but life can still be beautiful .	3	-1	 i'm[0] a[0] jew[0] but[0] life[0] can[0] still[0] be[0] beautiful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the nazis put me in a concentration camp , but life is still beautiful . 	the nazis put me in a concentration camp , but life is still beautiful .	3	-2	 the[0] nazis[-1] put[0] me[0] in[0] a[0] concentration[0] camp[0] but[0] life[0] is[0] still[0] beautiful[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i love my son very much and that's what matters , and that's what makes life beautiful . 	i love my son very much and that's what matters , and that's what makes life beautiful .	3	-1	 i[0] love[2] my[0] son[0] very[0] much[0] and[0] that's[0] what[0] matters[0] and[0] that's[0] what[0] makes[0] life[0] beautiful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
my ability to entertain somehow convinces my son that living in a concentration camp is somewhat beautiful ? 	my ability to entertain somehow convinces my son that living in a concentration camp is somewhat beautiful ?	3	-1	 my[0] ability[0] to[0] entertain[0] somehow[0] convinces[0] my[0] son[0] that[0] living[0] in[0] a[0] concentration[0] camp[0] is[0] somewhat[0] beautiful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i get shot for my efforts and the woman i love , but hey that's life and that's still a beautiful thing - so by jove don't give me any crap about it ! 	i get shot for my efforts and the woman i love , but hey that's life and that's still a beautiful thing - so by jove don't give me any crap about it !	3	-3	 i[0] get[0] shot[-1] for[0] my[0] efforts[0] and[0] the[0] woman[0] i[0] love[2] but[0] hey[1] that's[0] life[0] and[0] that's[0] still[0] a[0] beautiful[2] thing[0] so[0] by[0] jove[0] don't[0] give[0] me[0] any[0] crap[-2] about[0] it[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
by far the movie with the biggest heart this decade and well deserves every nomination and award that it has achieved . 	by far the movie with the biggest heart this decade and well deserves every nomination and award that it has achieved .	1	-1	 by[0] far[0] the[0] movie[0] with[0] the[0] biggest[0] heart[0] this[0] decade[0] and[0] well[0] deserves[0] every[0] nomination[0] and[0] award[0] that[0] it[0] has[0] achieved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well done , there should be more film directors and actors like you roberto benigni . 	well done , there should be more film directors and actors like you roberto benigni .	2	-1	 well[0] done[0] there[0] should[0] be[0] more[0] film[0] directors[0] and[0] actors[0] like[1] you[0] roberto[0] benigni[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
