by now i figured i'd seen every alfred hitchcock film at least a half-dozen times -- not that i'm complaining . 	Translation	Positive	Negative	EmotionRationale
to call him the " master of suspense " is an understatement . 	to call him the " master of suspense " is an understatement .	1	-1	 to[0] call[0] him[0] the[0] master[0] of[0] suspense[0] is[0] an[0] understatement[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the paradine case ( 1947 ) , admittedly one of hitchcock's lesser movies , turned out to be one i'd missed . 	the paradine case ( 1947 ) , admittedly one of hitchcock's lesser movies , turned out to be one i'd missed .	1	-2	 the[0] paradine[0] case[0] 1947[0] admittedly[0] one[0] of[0] hitchcock's[0] lesser[0] movies[0] turned[0] out[0] to[0] be[0] one[0] i'd[0] missed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this one , like all hitchcock films , is well worth savoring . 	this one , like all hitchcock films , is well worth savoring .	2	-1	 this[0] one[0] like[1] all[0] hitchcock[0] films[0] is[0] well[0] worth[0] savoring[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story opens with the rich mrs . maddalena anna paradine being arrested in her home for poisoning her blind husband . 	the story opens with the rich mrs .<br> maddalena anna paradine being arrested in her home for poisoning her blind husband .	1	-3	 the[0] story[0] opens[0] with[0] the[0] rich[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] maddalena[0] anna[0] paradine[0] being[0] arrested[0] in[0] her[0] home[0] for[0] poisoning[-2] her[0] blind[-1] husband[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as mrs . paradine , alida valli plays an aloof but alluring woman of the world . 	as mrs .<br> paradine , alida valli plays an aloof but alluring woman of the world .	2	-2	 as[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] paradine[0] alida[0] valli[0] plays[1] an[0] aloof[-1] but[0] alluring[0] woman[0] of[0] the[0] world[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
to franz waxman's stark and moody music , we see the prison guards divesting her of her luxurious garments and jewels . 	to franz waxman's stark and moody music , we see the prison guards divesting her of her luxurious garments and jewels .	1	-3	 to[0] franz[0] waxman's[0] stark[-1] and[0] moody[-2] music[0] we[0] see[0] the[0] prison[-1] guards[0] divesting[0] her[0] of[0] her[0] luxurious[0] garments[0] and[0] jewels[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
stripped of her fine raiment , she becomes a commoner again , which , as it turns out , was what she was before she met her husband . 	stripped of her fine raiment , she becomes a commoner again , which , as it turns out , was what she was before she met her husband .	3	-2	 stripped[0] of[0] her[0] fine[2] raiment[0] she[0] becomes[0] a[0] commoner[-1] again[0] which[0] as[0] it[0] turns[0] out[0] was[0] what[0] she[0] was[0] before[0] she[0] met[0] her[0] husband[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " a brief skirmish , and you'll be lunching at the savoy again , " anthony keane , her ultraconfident attorney tells her in their first meeting , predicting a fast and easy trial . 	 " a brief skirmish , and you'll be lunching at the savoy again , " anthony keane , her ultraconfident attorney tells her in their first meeting , predicting a fast and easy trial .	1	-2	 a[0] brief[0] skirmish[-1] and[0] you'll[0] be[0] lunching[0] at[0] the[0] savoy[0] again[0] anthony[0] keane[0] her[0] ultraconfident[0] attorney[0] tells[0] her[0] in[0] their[0] first[0] meeting[0] predicting[0] a[0] fast[0] and[0] easy[0] trial[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gregory peck plays the successful and debonair barrister . 	gregory peck plays the successful and debonair barrister .	3	-1	 gregory[0] peck[0] plays[1] the[0] successful[2] and[0] debonair[0] barrister[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " she's no murderess , " he argues simplistically , smitten by her beauty . 	 " she's no murderess , " he argues simplistically , smitten by her beauty .	3	-4	 she's[0] no[0] murderess[-3] he[0] argues[-1] simplistically[0] smitten[0] by[0] her[0] beauty[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " she's too fine a woman . " 	 " she's too fine a woman .<br> "	3	-1	 she's[0] too[0] fine[2] a[0] woman[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his attitude upsets his beautiful and increasing jealous wife , gay ( ann todd ) . 	his attitude upsets his beautiful and increasing jealous wife , gay ( an todd ) .	3	-3	 his[0] attitude[0] upsets[-2] his[0] beautiful[2] and[0] increasing[0] jealous[-2] wife[0] gay[-1] ann/an[0] todd[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
unlike most hitchcock movies , which are centered on the thriller and the mystery , this one is more a romantic melodrama . 	unlike most hitchcock movies , which are centered on the thriller and the mystery , this one is more a romantic melodrama .	4	-1	 unlike[0] most[0] hitchcock[0] movies[0] which[0] are[0] centered[0] on[0] the[0] thriller[1] and[0] the[0] mystery[0] this[0] one[0] is[0] more[0] a[0] romantic[3] melodrama[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
typical is the scene in which gay flings her head back and shakes her hair while bathed in light . 	typical is the scene in which gay flings her head back and shakes her hair while bathed in light .	1	-2	 typical[0] is[0] the[0] scene[0] in[0] which[0] gay[-1] flings[0] her[0] head[0] back[0] and[0] shakes[-1] her[0] hair[0] while[0] bathed[0] in[0] light[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she deflects her husband's affections as she fears that he is beginning to fall in love with his client . 	she deflects her husband's affections as she fears that he is beginning to fall in love with his client .	3	-3	 she[0] deflects[0] her[0] husband's[0] affections[2] as[0] she[0] fears[-2] that[0] he[0] is[0] beginning[0] to[0] fall[0] in[0] love[2] with[0] his[0] client[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the dramatic music then comes up high as the camera dwells on mrs . paradine's portrait nearby . 	the dramatic music then comes up high as the camera dwells on mrs .<br> paradine's portrait nearby .	1	-1	 the[0] dramatic[0] music[0] then[0] comes[0] up[0] high[0] as[0] the[0] camera[0] dwells[0] on[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] paradine's[0] portrait[0] nearby[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the relatively unsatisfying first half , little happens other than domestic squabbles and overtones of intense adulterous desires . 	in the relatively unsatisfying first half , little happens other than domestic squabbles and overtones of intense adulterous desires .	1	-1	 in[0] the[0] relatively[0] unsatisfying[0] first[0] half[0] little[0] happens[0] other[0] than[0] domestic[0] squabbles[0] and[0] overtones[0] of[0] intense[0] adulterous[0] desires[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to the sound of sweeping violins gay tells anthony that he must get mrs . paradine acquitted because , if mrs . paradine dies , his heart will go with her . 	to the sound of sweeping violins gay tells anthony that he must get mrs .<br> paradine acquitted because , if mrs .<br> paradine dies , his heart will go with her .	1	-2	 to[0] the[0] sound[0] of[0] sweeping[0] violins[0] gay[-1] tells[0] anthony[0] that[0] he[0] must[0] get[0] mrs[0] [[Sentence=-2,1=word max, 1-5]] paradine[0] acquitted[0] because[0] if[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] paradine[0] dies[0] his[0] heart[0] will[0] go[0] with[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
