usually a movie is about something more than a soiled rug , but not the big lebowski . 	Translation	Positive	Negative	EmotionRationale
the new offering from the creators of 1996's critical hit fargo , is to say the least , wildly entertaining . 	the new offering from the creators of 1996's critical hit fargo , is to say the least , wildly entertaining .	1	-2	 the[0] new[0] offering[0] from[0] the[0] creators[0] of[0] 1996's[0] critical[-1] hit[0] fargo[0] is[0] to[0] say[0] the[0] least[0] wildly[0] entertaining[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
originality has always been a strong trait in the coen brother's movies , and the big lebowski is insanely original . 	originality has always been a strong trait in the coen brother's movies , and the big lebowski is insanely original .	1	-1	 originality[0] has[0] always[0] been[0] a[0] strong[0] trait[0] in[0] the[0] coen[0] brother's[0] movies[0] and[0] the[0] big[0] lebowski[0] is[0] insanely[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it begins oddly enough when jeff " the dude " lebowski ( jeff bridges ) is mistaken for a millionaire , jeff " the big " lebowski ( david huddleston ) , who's wife , bunny ( tara reid ) owes money all over town . 	it begins oddly enough when jeff " the dude " lebowski ( jeff bridges ) is mistaken for a millionaire , jeff " the big " lebowski ( david huddleston ) , who's wife , bunny ( tara reid ) owes money all over town .	1	-2	 it[0] begins[0] oddly[0] enough[0] when[0] jeff[0] the[0] dude[0] lebowski[0] jeff[0] bridges[0] is[0] mistaken[-1] for[0] a[0] millionaire[0] jeff[0] the[0] big[0] lebowski[0] david[0] huddleston[0] who's[0] wife[0] bunny[0] tara[0] reid[0] owes[0] money[0] all[0] over[0] town[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
two goons , out to collect on bunny's debt break into dude's house . 	two goons , out to collect on bunny's debt break into dude's house .	1	-1	 two[0] goons[0] out[0] to[0] collect[0] on[0] bunny's[0] debt[0] break[0] into[0] dude's[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they attempt to collect the money that bunny owes them and one of them urinates on his rug . 	they attempt to collect the money that bunny owes them and one of them urinates on his rug .	1	-1	 they[0] attempt[0] to[0] collect[0] the[0] money[0] that[0] bunny[0] owes[0] them[0] and[0] one[0] of[0] them[0] urinates[0] on[0] his[0] rug[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the next day dude explains his situation to his bowling team ( steve buscemi & john goodman , respectively . ) 	the next day dude explains his situation to his bowling team ( steve buscemi & john goodman , respectively .<br> )	3	-1	 the[0] next[0] day[0] dude[0] explains[0] his[0] situation[0] to[0] his[0] bowling[0] team[0] steve[0] buscemi[0] &[0] john[0] goodman[0] respectively[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he is advised to go to the big lebowski and get him to pay for the defiled rug . 	he is advised to go to the big lebowski and get him to pay for the defiled rug .	1	-1	 he[0] is[0] advised[0] to[0] go[0] to[0] the[0] big[0] lebowski[0] and[0] get[0] him[0] to[0] pay[0] for[0] the[0] defiled[0] rug[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he does this , and shortly after gets tied up in a kidnapping caper . 	he does this , and shortly after gets tied up in a kidnapping caper .	1	-1	 he[0] does[0] this[0] and[0] shortly[0] after[0] gets[0] tied[0] up[0] in[0] a[0] kidnapping[0] caper[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a extremely funny movie with lots of belly laugh moments . 	this is a extremely funny movie with lots of belly laugh moments .	4	-1	 this[0] is[0] a[0] extremely[0] funny[1][2 LastWordBoosterStrength] movie[0] with[0] lots[0] of[0] belly[0] laugh[1] moments[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the coen brothers have assembled a great cast that play off each other perfectly . 	the coen brothers have assembled a great cast that play off each other perfectly .	3	-1	 the[0] coen[0] brothers[0] have[0] assembled[0] a[0] great[2] cast[0] that[0] play[0] off[0] each[0] other[0] perfectly[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
