coinciding with the emerging popularity of movies that deal with anything related to serial killers , relentless , 1989 low budget thriller about lapd detective sam dietz , played by character actor leo rossi , spawned three more sequels . 	Translation	Positive	Negative	EmotionRationale
relentless 3 , third in the row , features sam dietz again , but this time detective , who had to catch vicious serial killer in his very first case , doesn't want to deal with similar line of work . 	relentless 3 , third in the row , features sam dietz again , but this time detective , who had to catch vicious serial killer in his very first case , doesn't want to deal with similar line of work .	1	-4	 relentless[0] 3[0] third[0] in[0] the[0] row[0] features[0] sam[0] dietz[0] again[0] but[0] this[0] time[0] detective[0] who[0] had[0] to[0] catch[0] vicious[-3] serial[0] killer[-1] in[0] his[0] very[0] first[0] case[0] doesn't[0] want[0] to[0] deal[0] with[0] similar[0] line[0] of[0] work[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
divorced , demoralised and transferred , he reluctantly returns to his old post when los angeles becomes a hunting ground for another serial killer , and evidence indicate connection with one of dietz's old cases . 	divorced , demoralised and transferred , he reluctantly returns to his old post when los angeles becomes a hunting ground for another serial killer , and evidence indicate connection with one of dietz's old cases .	1	-2	 divorced[-1] demoralised[0] and[0] transferred[0] he[0] reluctantly[-1] returns[0] to[0] his[0] old[0] post[0] when[0] los[0] angeles[0] becomes[0] a[0] hunting[0] ground[0] for[0] another[0] serial[0] killer[-1] and[0] evidence[0] indicate[0] connection[0] with[0] one[0] of[0] dietz's[0] old[0] cases[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to make things even more interesting , it seems that the killer deliberately stages murders in order to bring dietz to the investigation . 	to make things even more interesting , it seems that the killer deliberately stages murders in order to bring dietz to the investigation .	2	-4	 to[0] make[0] things[0] even[0] more[0] interesting[1] it[0] seems[0] that[0] the[0] killer[-1] deliberately[0] stages[0] murders[-3] in[0] order[0] to[0] bring[0] dietz[0] to[0] the[0] investigation[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
fans of the british tv films and mini-series like prime suspect or cracker would probably see a lot of similarities relentless series of movies . 	fans of the british tv films and mini-series like prime suspect or cracker would probably see a lot of similarities relentless series of movies .	2	-2	 fans[0] of[0] the[0] british[0] tv[0] films[0] and[0] mini[0] series[0] like[1] prime[0] suspect[-1] or[0] cracker[0] would[0] probably[0] see[0] a[0] lot[0] of[0] similarities[0] relentless[0] series[0] of[0] movies[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they both feature vicious psychopathic killers , yet also give a lot of , usually depressive , details about chief investigator's private lives . 	they both feature vicious psychopathic killers , yet also give a lot of , usually depressive , details about chief investigator's private lives .	1	-4	 they[0] both[0] feature[0] vicious[-3] psychopathic[0] killers[0] yet[0] also[0] give[0] a[0] lot[0] of[0] usually[0] depressive[-3] details[0] about[0] chief[0] investigator's[0] private[0] lives[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this one isn't an exception , but similarities with british television are only in content . 	this one isn't an exception , but similarities with british television are only in content .	1	-1	 this[0] one[0] isn't[0] an[0] exception[0] but[0] similarities[0] with[0] british[0] television[0] are[0] only[0] in[0] content[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the execution and style is different , which makes this film mediocre piece of entertainment at best . 	the execution and style is different , which makes this film mediocre piece of entertainment at best .	2	-2	 the[0] execution[0] and[0] style[0] is[0] different[0] which[0] makes[0] this[0] film[0] mediocre[-1] piece[0] of[0] entertainment[0] at[0] best[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
useless , gratuitous erotica also doesn't help either , obviously making this film longer than it should be . 	useless , gratuitous erotica also doesn't help either , obviously making this film longer than it should be .	1	-3	 useless[-2] gratuitous[-1] erotica[0] also[0] doesn't[0] help[0] either[0] obviously[0] making[0] this[0] film[0] longer[0] than[0] it[0] should[0] be[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the actors are good , though - leo rossi is fine as usual , and william forsythe plays one of more compelling villains in his career . 	the actors are good , though - leo rossi is fine as usual , and william forsythe plays one of more compelling villains in his career .	3	-3	 the[0] actors[0] are[0] good[1] though[0] leo[0] rossi[0] is[0] fine[2] as[0] usual[0] and[0] william[0] forsythe[0] plays[1] one[0] of[0] more[0] compelling[0] villains[-2] in[0] his[0] career[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
signy coleman as dietz's love interest , is , on the other hand , quite miscast . 	signy coleman as dietz's love interest , is , on the other hand , quite miscast .	3	-1	 signy[0] coleman[0] as[0] dietz's[0] love[2] interest[1] is[0] on[0] the[0] other[0] hand[0] quite[0] miscast[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but she won't have to worry about it in the future career , since relentless 3 wasn't supposed to be anybody's finest moment anyway . 	but she won't have to worry about it in the future career , since relentless 3 wasn't supposed to be anybody's finest moment anyway .	1	-4	 but[0] she[0] won't[0] have[0] to[0] worry[-3] about[0] it[0] in[0] the[0] future[0] career[0] since[0] relentless[0] 3[0] wasn't[0] supposed[0] to[0] be[0] anybody's[0] finest[0] moment[0] anyway[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
