the full monty is a whole lot of fun , its wacky , witty , and original . 	Translation	Positive	Negative	EmotionRationale
it's written and directed by relatively unknowns , simon beaufoy and peter cattaneo , who both turned up oscar nominations . 	it's written and directed by relatively unknowns , simon beaufoy and peter cattaneo , who both turned up oscar nominations .	1	-1	 it's[0] written[0] and[0] directed[0] by[0] relatively[0] unknowns[0] simon[0] beaufoy[0] and[0] peter[0] cattaneo[0] who[0] both[0] turned[0] up[0] oscar[0] nominations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how did this movie with a budget under 10 million gross over 175 million worldwide ? 	how did this movie with a budget under 10 million gross over 175 million worldwide ?	1	-2	 how[0] did[0] this[0] movie[0] with[0] a[0] budget[0] under[0] 10[0] million[0] gross[-1] over[0] 175[0] million[0] worldwide[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
its been rumored that this film may be the second most profitable movie of the year ! 	its been rumored that this film may be the second most profitable movie of the year !	2	-1	 its[0] been[0] rumored[0] that[0] this[0] film[0] may[0] be[0] the[0] second[0] most[0] profitable[1] movie[0] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and to think its about male exotic dancers , and not sinking ships . 	and to think its about male exotic dancers , and not sinking ships .	1	-1	 and[0] to[0] think[0] its[0] about[0] male[0] exotic[0] dancers[0] and[0] not[0] sinking[0] ships[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
six steel workers who have been recently been laid off and are all looking for jobs . 	six steel workers who have been recently been laid off and are all looking for jobs .	1	-1	 six[0] steel[0] workers[0] who[0] have[0] been[0] recently[0] been[0] laid[0] off[0] and[0] are[0] all[0] looking[0] for[0] jobs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
inspired by the success of a chippendale's production , gaz ( robert carlyle ) decides they should all put on a strip show to make some money quickly . 	inspired by the success of a chippendale's production , gaz ( robert carlyle ) decides they should all put on a strip show to make some money quickly .	3	-1	 inspired[2] by[0] the[0] success[2] of[0] a[0] chippendale's[0] production[0] gaz[0] robert[0] carlyle[0] decides[0] they[0] should[0] all[0] put[0] on[0] a[0] strip[0] show[0] to[0] make[0] some[0] money[0] quickly[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as the six team up to put on the show of their lives , they run into a few problems . 	as the six team up to put on the show of their lives , they run into a few problems .	1	-2	 as[0] the[0] six[0] team[0] up[0] to[0] put[0] on[0] the[0] show[0] of[0] their[0] lives[0] they[0] run[0] into[0] a[0] few[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for instance , dave ( mark addy ) is worried about his weight , horse ( paul barber ) thinks he may be inadequate , and gerald ( tom wilkinson ) is worried about his reputation and timing . 	for instance , dave ( mark addy ) is worried about his weight , horse ( paul barber ) thinks he may be inadequate , and gerald ( tom wilkinson ) is worried about his reputation and timing .	1	-4	 for[0] instance[0] dave[0] mark[0] addy[0] is[0] worried[-3] about[0] his[0] weight[0] horse[0] paul[0] barber[0] thinks[0] he[0] may[0] be[0] inadequate[-1] and[0] gerald[0] tom[0] wilkinson[0] is[0] worried[-3] about[0] his[0] reputation[0] and[0] timing[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
so when the night of the show comes , will the men be able to do the " full monty " ? 	so when the night of the show comes , will the men be able to do the " full monty " ?	1	-1	 so[0] when[0] the[0] night[0] of[0] the[0] show[0] comes[0] will[0] the[0] men[0] be[0] able[0] to[0] do[0] the[0] full[0] monty[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as i said before this is a fun movie , and not just that its really artistically good . 	as i said before this is a fun movie , and not just that its really artistically good .	2	-1	 as[0] i[0] said[0] before[0] this[0] is[0] a[0] fun[1] movie[0] and[0] not[0] just[0] that[0] its[0] really[0] artistically[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
