in zoolander , the world's most successful , influential and intellectually-challenged male model derek zoolander wonders , " is there more to life than being really really really good looking ? " 	Translation	Positive	Negative	EmotionRationale
obviously , the film's creator and star ben stiller asked a similar question when crafting a feature-length movie out of his hilarious vh1/vogue fashion awards short-film subject : can there be more to this film than being really really really silly ? 	obviously , the film's creator and star ben stiller asked a similar question when crafting a feature-length movie out of his hilarious vh1/vogue fashion awards short-film subject : can there be more to this film than being really really really silly ?	3	-3	 obviously[0] the[0] film's[0] creator[0] and[0] star[0] ben[0] stiller[0] asked[0] a[0] similar[0] question[0] when[0] crafting[0] a[0] feature[0] length[0] movie[0] out[0] of[0] his[0] hilarious[2] vh1/vogue[0] fashion[0] awards[0] short[0] film[0] subject[0] can[0] there[0] be[0] more[0] to[0] this[0] film[0] than[0] being[0] really[0] really[0] really[0] silly[-1][-1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
no , of course not , and it never aspires to be anything more . 	no , of course not , and it never aspires to be anything more .	1	-1	 no[0] of[0] course[0] not[0] and[0] it[0] never[0] aspires[0] to[0] be[0] anything[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
much like derek , zoolander is a sweet simpleton of a movie . 	much like derek , zoolander is a sweet simpleton of a movie .	2	-2	 much[0] like[1] derek[0] zoolander[0] is[0] a[0] sweet[1] simpleton[-1] of[0] a[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's not complex in either its social commentary or its comedy , and it never produces any gut-busting laughs ( except maybe a scene when derek's model roommates all die in a tragic " gasoline fight " accident -- a riotously funny take-off of tommy hilfiger ads ) . 	it's not complex in either its social commentary or its comedy , and it never produces any gut-busting laughs ( except maybe a scene when derek's model roommates all die in a tragic " gasoline fight " accident - a riotously funny take-off of tommy hilfiger ads ) .	2	-3	 it's[0] not[0] complex[0] in[0] either[0] its[0] social[0] commentary[0] or[0] its[0] comedy[0] and[0] it[0] never[0] produces[0] any[0] gut[0] busting[0] laughs[1] except[0] maybe[0] a[0] scene[0] when[0] derek's[0] model[0] roommates[0] all[0] die[0] in[0] a[0] tragic[-2] gasoline[0] fight[-2] accident[-1] a[0] riotously[0] funny[1] take[0] off[0] of[0] tommy[0] hilfiger[0] ads[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but it has a satisfying handful of strong chuckles , wild characters and performances , and mildly harsh potshots at the fashion industry to keep you amused . 	but it has a satisfying handful of strong chuckles , wild characters and performances , and mildly harsh potshots at the fashion industry to keep you amused .	3	-2	 but[0] it[0] has[0] a[0] satisfying[1] handful[0] of[0] strong[0] chuckles[2] wild[0] characters[0] and[0] performances[0] and[0] mildly[0] harsh[-1] potshots[0] at[0] the[0] fashion[0] industry[0] to[0] keep[0] you[0] amused[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
better yet , this exaggerated version of the original three-minute skit is only blown out to an efficient 95 minutes -- just enough time to string together its goofball plot without exhausting the gag . 	better yet , this exaggerated version of the original three-minute skit is only blown out to an efficient 95 minutes - just enough time to string together its goofball plot without exhausting the gag .	1	-2	 better[0] yet[0] this[0] exaggerated[-1] version[0] of[0] the[0] original[0] three[0] minute[0] skit[0] is[0] only[0] blown[0] out[0] to[0] an[0] efficient[0] 95[0] minutes[0] just[0] enough[0] time[0] to[0] string[0] together[0] its[0] goofball[0] plot[0] without[0] exhausting[-1] the[0] gag[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
zoolander opens with several fashion bigwigs plotting to assassinate the prime minister of malaysia , since he wants to abolish child labor in his country and thus driving up their costs . 	zoolander opens with several fashion bigwigs plotting to assassinate the prime minister of malaysia , since he wants to abolish child labor in his country and thus driving up their costs .	1	-3	 zoolander[0] opens[0] with[0] several[0] fashion[0] bigwigs[0] plotting[0] to[0] assassinate[-2] the[0] prime[0] minister[0] of[0] malaysia[0] since[0] he[0] wants[0] to[0] abolish[-1] child[0] labor[0] in[0] his[0] country[0] and[0] thus[0] driving[0] up[0] their[0] costs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fashion designer and criminal mastermind jacobim mugatu ( will ferrell ) drafts a plan to brainwash the dumbest fashion model to carry out the evil deed . 	fashion designer and criminal mastermind jacobim mugatu ( will ferrell ) drafts a plan to brainwash the dumbest fashion model to carry out the evil deed .	1	-3	 fashion[0] designer[0] and[0] criminal[-1] mastermind[0] jacobim[0] mugatu[0] will[0] ferrell[0] drafts[0] a[0] plan[0] to[0] brainwash[0] the[0] dumbest[-1] fashion[0] model[0] to[0] carry[0] out[0] the[0] evil[-2] deed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
enter derek , whose career is slumping as newcomer hansel ( owen wilson ) takes the spotlight . 	enter derek , whose career is slumping as newcomer hansel ( owen wilson ) takes the spotlight .	1	-2	 enter[0] derek[0] whose[0] career[0] is[0] slumping[-1] as[0] newcomer[0] hansel[0] owen[0] wilson[0] takes[0] the[0] spotlight[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the trail of mugatu's plot is time magazine reporter matilda jeffries ( stiller's real-life wife christine taylor ) , and she's hoping to use mugatu's pawn derek to ultimately foil the scheme . 	on the trail of mugatu's plot is time magazine reporter matilda jeffries ( stiller's real-life wife christine taylor ) , and she's hoping to use mugatu's pawn derek to ultimately foil the scheme .	2	-1	 on[0] the[0] trail[0] of[0] mugatu's[0] plot[0] is[0] time[0] magazine[0] reporter[0] matilda[0] jeffries[0] stiller's[0] real[0] life[0] wife[0] christine[0] taylor[0] and[0] she's[0] hoping[1] to[0] use[0] mugatu's[0] pawn[0] derek[0] to[0] ultimately[0] foil[0] the[0] scheme[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
much like the austin powers films , zoolander relies heavily on the strength of the talent involved , and this zany comedy features some of the funniest people in entertainment today . 	much like the austin powers films , zoolander relies heavily on the strength of the talent involved , and this zany comedy features some of the funniest people in entertainment today .	2	-1	 much[0] like[1] the[0] austin[0] powers[0] films[0] zoolander[0] relies[0] heavily[0] on[0] the[0] strength[0] of[0] the[0] talent[1] involved[0] and[0] this[0] zany[0] comedy[0] features[0] some[0] of[0] the[0] funniest[1] people[0] in[0] entertainment[0] today[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
wilson is hysterical as the young , vain hansel . 	wilson is hysterical as the young , vain hansel .	1	-3	 wilson[0] is[0] hysterical[-1] as[0] the[0] young[0] vain[-2] hansel[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ferrell nearly steals the show from everyone as the flamboyant , freakish mugatu in the same way dr . evil upstages everyone in austin powers . 	ferrell nearly steals the show from everyone as the flamboyant , freakish mugatu in the same way dr .<br> evil upstages everyone in austin powers .	1	-3	 ferrell[0] nearly[0] steals[-2] the[0] show[0] from[0] everyone[0] as[0] the[0] flamboyant[0] freakish[-1] mugatu[0] in[0] the[0] same[0] way[0] dr[0] [[Sentence=-3,1=word max, 1-5]] evil[-2] upstages[0] everyone[0] in[0] austin[0] powers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jerry stiller -- ben's dad who's best remembered as frank costanza of seinfeld -- makes a priceless turn as derek's slimy agent maury ballstein . 	jerry stiller - ben's dad who's best remembered as frank costanza of seinfeld - makes a priceless turn as derek's slimy agent maury ballstein .	4	-1	 jerry[0] stiller[0] ben's[0] dad[0] who's[0] best[1] remembered[0] as[0] frank[0] costanza[0] of[0] seinfeld[0] makes[0] a[0] priceless[3] turn[0] as[0] derek's[0] slimy[0] agent[0] maury[0] ballstein[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
even ben stiller show alum andy dick shows up as a deranged , large-assed masseuse . 	even ben stiller show alum andy dick shows up as a deranged , large-assed masseuse .	1	-1	 even[0] ben[0] stiller[0] show[0] alum[0] andy[0] dick[0] shows[0] up[0] as[0] a[0] deranged[0] large[0] assed[0] masseuse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as for ben stiller , it seems his derek has one gag : he's stupid , which plays out in some uproarious one-liners . 	as for ben stiller , it seems his derek has one gag : he's stupid , which plays out in some uproarious one-liners .	2	-2	 as[0] for[0] ben[0] stiller[0] it[0] seems[0] his[0] derek[0] has[0] one[0] gag[0] he's[0] stupid[-1] which[0] plays[1] out[0] in[0] some[0] uproarious[0] one[0] liners[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , taylor seems out of place and out of her league here . 	unfortunately , taylor seems out of place and out of her league here .	1	-2	 unfortunately[-1] taylor[0] seems[0] out[0] of[0] place[0] and[0] out[0] of[0] her[0] league[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe it's just because i can't stop seeing her as marcia brady ( who she played in both brady movies ) , making her unbelievable as a dowdy , brainy plain jane who hasn't had sex in two years . 	maybe it's just because i can't stop seeing her as marcia brady ( who she played in both brady movies ) , making her unbelievable as a dowdy , brainy plain jane who hasn't had sex in two years .	1	-2	 maybe[0] it's[0] just[0] because[0] i[0] can't[0] stop[0] seeing[0] her[0] as[0] marcia[0] brady[0] who[0] she[0] played[0] in[0] both[0] brady[0] movies[0] making[0] her[0] unbelievable[-1] as[0] a[0] dowdy[0] brainy[0] plain[0] jane[0] who[0] hasn't[0] had[0] sex[0] in[0] two[0] years[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she leaves me pining for the cynicism of janeane garofolo , who would've added real comic substance to the flimsy role . 	she leaves me pining for the cynicism of janeane garofolo , who would've added real comic substance to the flimsy role .	1	-2	 she[0] leaves[0] me[0] pining[0] for[0] the[0] cynicism[-1] of[0] janeane[0] garofolo[0] who[0] would've[0] added[0] real[0] comic[0] substance[0] to[0] the[0] flimsy[-1] role[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while zoolander is hardly highbrow , its screwball humor is welcome during these trying times , especially considering the gross lack of decent pickings in the theaters these days . 	while zoolander is hardly highbrow , its screwball humor is welcome during these trying times , especially considering the gross lack of decent pickings in the theaters these days .	3	-2	 while[0] zoolander[0] is[0] hardly[0] highbrow[0] its[0] screwball[0] humor[2] is[0] welcome[1] during[0] these[0] trying[0] times[0] especially[0] considering[0] the[0] gross[-1] lack[-1] of[0] decent[0] pickings[0] in[0] the[0] theaters[0] these[0] days[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
zoolander's no masterpiece , but a very worthy distraction . 	zoolander's no masterpiece , but a very worthy distraction .	1	-2	 zoolander's[0] no[0] masterpiece[0] but[0] a[0] very[0] worthy[0] distraction[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
