there isn't much good about this movie . 	Translation	Positive	Negative	EmotionRationale
not much i can say about the acting , directing , or writing that would make you consider seeing this movie . 	not much i can say about the acting , directing , or writing that would make you consider seeing this movie .	1	-1	 not[0] much[0] i[0] can[0] say[0] about[0] the[0] acting[0] directing[0] or[0] writing[0] that[0] would[0] make[0] you[0] consider[0] seeing[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so i'll get my one good comment out of the way , at least joel schuemacher ( batman & robin ) didn't direct it or it would be titled " technicolor city " . 	so i'll get my one good comment out of the way , at least joel schuemacher ( batman & robin ) didn't direct it or it would be titled " technicolor city " .	2	-1	 so[0] i'll[0] get[0] my[0] one[0] good[1] comment[0] out[0] of[0] the[0] way[0] at[0] least[0] joel[0] schuemacher[0] batman[0] &[0] robin[0] didn't[0] direct[0] it[0] or[0] it[0] would[0] be[0] titled[0] technicolor[0] city[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact there is nothing colorful about this movie , its dark and depressingly gloomy right down to the bitter end . 	in fact there is nothing colorful about this movie , its dark and depressingly gloomy right down to the bitter end .	1	-4	 in[0] fact[0] there[0] is[0] nothing[0] colorful[0] about[0] this[0] movie[0] its[0] dark[0] and[0] depressingly[-3] gloomy[-2][-1 MultiplePositiveWords] right[0] down[0] to[0] the[0] bitter[-1] end[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the plot has a tendency to be interesting , but all that passes while your laughing at the ridiculous things thrown into what could have been a fascinating movie . 	the plot has a tendency to be interesting , but all that passes while your laughing at the ridiculous things thrown into what could have been a fascinating movie .	2	-3	 the[0] plot[0] has[0] a[0] tendency[0] to[0] be[0] interesting[1] but[0] all[0] that[0] passes[0] while[0] your[0] laughing[1] at[0] the[0] ridiculous[-2] things[0] thrown[0] into[0] what[0] could[0] have[0] been[0] a[0] fascinating[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the plot is impossible to explain due to how senseless it gets , so i will just touch on the bare minimum . 	the plot is impossible to explain due to how senseless it gets , so i will just touch on the bare minimum .	1	-2	 the[0] plot[0] is[0] impossible[0] to[0] explain[0] due[0] to[0] how[0] senseless[-1] it[0] gets[0] so[0] i[0] will[0] just[0] touch[0] on[0] the[0] bare[0] minimum[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
john murdoch ( rufus sewell ) awakes in the bathtub of a cheap hotel , only to find out he has forgotten everything . 	john murdoch ( rufus sewell ) awakes in the bathtub of a cheap hotel , only to find out he has forgotten everything .	1	-2	 john[0] murdoch[0] rufus[0] sewell[0] awakes[0] in[0] the[0] bathtub[0] of[0] a[0] cheap[-1] hotel[0] only[0] to[0] find[0] out[0] he[0] has[0] forgotten[0] everything[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
john must find out who he is before the " strangers " ( a . k . a . 	john must find out who he is before the " strangers " ( a .<br> k .<br> a .	1	-1	 john[0] must[0] find[0] out[0] who[0] he[0] is[0] before[0] the[0] strangers[0] a[0] [[Sentence=-1,1=word max, 1-5]] k[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mind erasing aliens ) find him and use him for their own evil conspiracy . 	mind erasing aliens ) find him and use him for their own evil conspiracy .	1	-3	 mind[0] erasing[0] aliens[0] find[0] him[0] and[0] use[0] him[0] for[0] their[0] own[0] evil[-2] conspiracy[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
during the film some interesting points are raised about human individuality , and the existence of inherently evil people . 	during the film some interesting points are raised about human individuality , and the existence of inherently evil people .	1	-3	 during[0] the[0] film[0] some[0] interesting[1][-1 LastWordBoosterStrength] points[0] are[0] raised[0] about[0] human[0] individuality[0] and[0] the[0] existence[0] of[0] inherently[0] evil[-2] people[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
any of these points however are completely " erased " from your mind as you watch the actors stumble through the dreadful script . 	any of these points however are completely " erased " from your mind as you watch the actors stumble through the dreadful script .	1	-4	 any[0] of[0] these[0] points[0] however[0] are[0] completely[0] erased[-1][-1 LastWordBoosterStrength] from[0] your[0] mind[0] as[0] you[0] watch[0] the[0] actors[0] stumble[0] through[0] the[0] dreadful[-3] script[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as i mentioned earlier , nothing but the atmosphere is right in this film . 	as i mentioned earlier , nothing but the atmosphere is right in this film .	1	-1	 as[0] i[0] mentioned[0] earlier[0] nothing[0] but[0] the[0] atmosphere[0] is[0] right[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the acting is bland , and since there is virtually no character development no one seems to care . 	the acting is bland , and since there is virtually no character development no one seems to care .	2	-2	 the[0] acting[0] is[0] bland[-1] and[0] since[0] there[0] is[0] virtually[0] no[0] character[0] development[0] no[0] one[0] seems[0] to[0] care[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the special effects are low budget and some even hilariously fake , a sign of a true " b-movie " . 	the special effects are low budget and some even hilariously fake , a sign of a true " b-movie " .	3	-2	 the[0] special[1] effects[0] are[0] low[-1] budget[0] and[0] some[0] even[0] hilariously[2] fake[-1] a[0] sign[0] of[0] a[0] true[1] b[0] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the direction is poor and there is little continuity , not that you would expect it in a movie switching realities constantly . 	the direction is poor and there is little continuity , not that you would expect it in a movie switching realities constantly .	1	-2	 the[0] direction[0] is[0] poor[-1] and[0] there[0] is[0] little[0] continuity[0] not[0] that[0] you[0] would[0] expect[0] it[0] in[0] a[0] movie[0] switching[0] realities[0] constantly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lastly the script is weak and has no concept of reality , and doesn't deserve to have the word " science " in science-fiction . 	lastly the script is weak and has no concept of reality , and doesn't deserve to have the word " science " in science-fiction .	1	-2	 lastly[0] the[0] script[0] is[0] weak[-1] and[0] has[0] no[0] concept[0] of[0] reality[0] and[0] doesn't[0] deserve[0] to[0] have[0] the[0] word[0] science[0] in[0] science[0] fiction[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if i haven't got my point across , i'll say it more plainly : this is a bad movie . 	if i haven't got my point across , i'll say it more plainly : this is a bad movie .	1	-2	 if[0] i[0] haven't[0] got[0] my[0] point[0] across[0] i'll[0] say[0] it[0] more[0] plainly[0] this[0] is[0] a[0] bad[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lets hope the next movie by alex " i wish i was tim burton " proyas is at least tolerable . 	lets hope the next movie by alex " i wish i was tim burton " proyas is at least tolerable .	3	-1	 lets[0] hope[2] the[0] next[0] movie[0] by[0] alex[0] i[0] wish[0] i[0] was[0] tim[0] burton[0] proyas[0] is[0] at[0] least[0] tolerable[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
