warner brothers has scored another marketing coup . 	Translation	Positive	Negative	EmotionRationale
the one-two punch was started in the summer , with the release of batman forever . 	the one-two punch was started in the summer , with the release of batman forever .	1	-2	 the[0] one[0] two[0] punch[-1] was[0] started[0] in[0] the[0] summer[0] with[0] the[0] release[0] of[0] batman[0] forever[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
trailers for ace ventura 2 were bundled with the bat , ensuring that every jim carrey fan in the free world would know about the impending sequel . 	trailers for ace ventura 2 were bundled with the bat , ensuring that every jim carrey fan in the free world would know about the impending sequel .	1	-1	 trailers[0] for[0] ace[0] ventura[0] 2[0] were[0] bundled[0] with[0] the[0] bat[0] ensuring[0] that[0] every[0] jim[0] carrey[0] fan[0] in[0] the[0] free[0] world[0] would[0] know[0] about[0] the[0] impending[0] sequel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carrey went on to win raves as the riddler and the ever-wise warner chose halloween as the release date for the video (  11 . 99 at wal-mart ) ; a mere two weeks before carrey's return in this marketwise , but misfired comedy . 	carrey went on to win raves as the riddler and the ever-wise warner chose halloween as the release date for the video (  11 .<br> 99 at wal-mart ) ; a mere two weeks before carrey's return in this marketwise , but misfired comedy .	1	-1	 carrey[0] went[0] on[0] to[0] win[0] raves[0] as[0] the[0] riddler[0] and[0] the[0] ever[0] wise[0] warner[0] chose[0] halloween[0] as[0] the[0] release[0] date[0] for[0] the[0] video[0] 11[0] [[Sentence=-1,1=word max, 1-5]] 99[0] at[0] wal[0] mart[0] a[0] mere[0] two[0] weeks[0] before[0] carrey's[0] return[0] in[0] this[0] marketwise[0] but[0] misfired[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ace ventura : when nature calls is a painful reminder of just how grating the rubber-faced comic can be when allowed to perform within an uncontrolled environment . 	ace ventura : when nature calls is a painful reminder of just how grating the rubber-faced comic can be when allowed to perform within an uncontrolled environment .	2	-4	 ace[0] ventura[0] when[0] nature[0] calls[0] is[0] a[0] painful[-3] reminder[0] of[0] just[0] how[0] grating[1] the[0] rubber[0] faced[0] comic[0] can[0] be[0] when[0] allowed[0] to[0] perform[0] within[0] an[0] uncontrolled[-1] environment[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he may have been brilliant under the direction of joel schumacher , in batman forever , but , here , left to his own devices , carrey quickly wears out his welcome . 	he may have been brilliant under the direction of joel schumacher , in batman forever , but , here , left to his own devices , carrey quickly wears out his welcome .	2	-1	 he[0] may[0] have[0] been[0] brilliant[1] under[0] the[0] direction[0] of[0] joel[0] schumacher[0] in[0] batman[0] forever[0] but[0] here[0] left[0] to[0] his[0] own[0] devices[0] carrey[0] quickly[0] wears[0] out[0] his[0] welcome[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the opening sequence is by far the best--an amusing spoof of cliffhanger , with ace performing a mountain rescue of a stranded raccoon . 	the opening sequence is by far the best-an amusing spoof of cliffhanger , with ace performing a mountain rescue of a stranded raccoon .	2	-1	 the[0] opening[0] sequence[0] is[0] by[0] far[0] the[0] best[1] an[0] amusing[1] spoof[0] of[0] cliffhanger[0] with[0] ace[0] performing[0] a[0] mountain[0] rescue[0] of[0] a[0] stranded[0] raccoon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( you can guess what happens to mr . paws . 	 ( you can guess what happens to mr .<br> paws .	1	-1	 you[0] can[0] guess[0] what[0] happens[0] to[0] mr[0] [[Sentence=-1,1=word max, 1-5]] paws[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hint : it sounds like splat . ) 	hint : it sounds like splat .<br> )	2	-1	 hint[0] it[0] sounds[0] like[1] splat[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot quickly shifts to a temple in the himalayas , and then to not-so-darkest africa , where ace is on the case of a missing white bat . 	the plot quickly shifts to a temple in the himalayas , and then to not-so-darkest africa , where ace is on the case of a missing white bat .	1	-1	 the[0] plot[0] quickly[0] shifts[0] to[0] a[0] temple[0] in[0] the[0] himalayas[0] and[0] then[0] to[0] not[0] so[0] darkest[0] africa[0] where[0] ace[0] is[0] on[0] the[0] case[0] of[0] a[0] missing[0] white[0] bat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with his hair and limbs both wildly askew , carrey flies through his routine in about thirty minutes . 	with his hair and limbs both wildly askew , carrey flies through his routine in about thirty minutes .	1	-1	 with[0] his[0] hair[0] and[0] limbs[0] both[0] wildly[0] askew[0] carrey[0] flies[0] through[0] his[0] routine[0] in[0] about[0] thirty[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the rest of the film is just more of the same . 	the rest of the film is just more of the same .	1	-1	 the[0] rest[0] of[0] the[0] film[0] is[0] just[0] more[0] of[0] the[0] same[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , the plot's linear , and the production values solid , but where is the scripted humor to support carrey's sloppy slathering ? 	sure , the plot's linear , and the production values solid , but where is the scripted humor to support carrey's sloppy slathering ?	3	-2	 sure[0] the[0] plot's[0] linear[0] and[0] the[0] production[0] values[1] solid[0] but[0] where[0] is[0] the[0] scripted[0] humor[2] to[0] support[1] carrey's[0] sloppy[-1] slathering[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
writer and director steve oderkerk provides precious few set-ups . 	writer and director steve oderkerk provides precious few set-ups .	3	-1	 writer[0] and[0] director[0] steve[0] oderkerk[0] provides[0] precious[2] few[0] set[0] ups[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
instead , carrey just mugs away , playing for the camera even when most of it isn't funny . 	instead , carrey just mugs away , playing for the camera even when most of it isn't funny .	2	-2	 instead[0] carrey[0] just[0] mugs[0] away[0] playing[1] for[0] the[0] camera[0] even[0] when[0] most[0] of[0] it[0] isn't[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
