if you want some hearty laughs , then rat race is the movie for you . 	Translation	Positive	Negative	EmotionRationale
this unpretentious little comedy , which sneaks into theaters today with very little hype , will have you bouncing in your theater seat . 	this unpretentious little comedy , which sneaks into theaters today with very little hype , will have you bouncing in your theater seat .	1	-2	 this[0] unpretentious[0] little[0] comedy[0] which[0] sneaks[-1] into[0] theaters[0] today[0] with[0] very[0] little[0] hype[0] will[0] have[0] you[0] bouncing[0] in[0] your[0] theater[0] seat[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and while the film fits neatly into the low-brow , slapstick school of comedy , one refreshing aspect is its lack of mean-spiritedness . 	and while the film fits neatly into the low-brow , slapstick school of comedy , one refreshing aspect is its lack of mean-spiritedness .	1	-2	 and[0] while[0] the[0] film[0] fits[0] neatly[0] into[0] the[0] low[-1] brow[0] slapstick[-1] school[0] of[0] comedy[0] one[0] refreshing[0] aspect[0] is[0] its[0] lack[-1] of[0] mean[0] spiritedness[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot follows a group of people chosen at random by an eccentric las vegas casino owner ( john cleese ) who must race from vegas to a bus station locker 700 miles away in silver city , n . m . 	the plot follows a group of people chosen at random by an eccentric las vegas casino owner ( john cleese ) who must race from vegas to a bus station locker 700 miles away in silver city , n .<br> m .	1	-2	 the[0] plot[0] follows[0] a[0] group[0] of[0] people[0] chosen[0] at[0] random[0] by[0] an[0] eccentric[-1] las[0] vegas[0] casino[0] owner[0] john[0] cleese[0] who[0] must[0] race[0] from[0] vegas[0] to[0] a[0] bus[0] station[0] locker[0] 700[0] miles[0] away[0] in[0] silver[0] city[0] n[0] [[Sentence=-2,1=word max, 1-5]] m[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
inside the locker is a duffel bag containing  2 million . 	inside the locker is a duffel bag containing  2 million .	1	-1	 inside[0] the[0] locker[0] is[0] a[0] duffel[0] bag[0] containing[0] 2[0] million[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first one to open the locker , gets the bag and the money . 	the first one to open the locker , gets the bag and the money .	1	-1	 the[0] first[0] one[0] to[0] open[0] the[0] locker[0] gets[0] the[0] bag[0] and[0] the[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what the group of participants doesn't know is that cleese's donald sinclair ( " i can do anything i want - i'm eccentric ! " ) is staging the race as a betting game for a group of high rollers at the hotel . 	what the group of participants doesn't know is that cleese's donald sinclair ( " i can do anything i want - i'm eccentric !<br> " ) is staging the race as a betting game for a group of high rollers at the hotel .	1	-2	 what[0] the[0] group[0] of[0] participants[0] doesn't[0] know[0] is[0] that[0] cleese's[0] donald[0] sinclair[0] i[0] can[0] do[0] anything[0] i[0] want[0] i'm[0] eccentric[-1] [[Sentence=-2,1=word max, 1-5]] is[0] staging[0] the[0] race[0] as[0] a[0] betting[0] game[0] for[0] a[0] group[0] of[0] high[0] rollers[0] at[0] the[0] hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
the participants include vera ( whoopi goldberg ) and merrill ( lanai chapman ) , a newly reunited mother and daughter ; disgraced pro football referee owen templeton ( cuba gooding jr . ) ; italian tourist mr . pollini ( rowan atkinson ) ; randy pear ( jon lovitz ) and his family ; the bumbling con men duane and blaine cody ( seth green and vince vieluf ) ; and cynical young lawyer nick shaffer ( breckin meyer ) . 	the participants include vera ( whoopi goldberg ) and merrill ( lanai chapman ) , a newly reunited mother and daughter ; disgraced pro football referee owen templeton ( cuba gooding jr .<br> ) ; italian tourist mr .<br> pollini ( rowan atkinson ) ; randy pear ( jon lovitz ) and his family ; the bumbling con men duane and blaine cody ( seth green and vince vieluf ) ; and cynical young lawyer nick shaffer ( breckin meyer ) .	2	-4	 the[0] participants[0] include[0] vera[0] whoopi[0] goldberg[0] and[0] merrill[1] lanai[0] chapman[0] a[0] newly[0] reunited[0] mother[0] and[0] daughter[0] disgraced[-3] pro[0] football[0] referee[0] owen[0] templeton[0] cuba[0] gooding[0] jr[0] [[Sentence=-4,2=word max, 1-5]] italian[0] tourist[0] mr[0] [[Sentence=-1,1=word max, 1-5]] pollini[0] rowan[0] atkinson[0] randy[0] pear[0] jon[0] lovitz[0] and[0] his[0] family[0] the[0] bumbling[0] con[0] men[0] duane[0] and[0] blaine[0] cody[0] seth[0] green[0] and[0] vince[0] vieluf[0] and[0] cynical[-1] young[0] lawyer[0] nick[0] shaffer[0] breckin[0] meyer[0] [[Sentence=-2,1=word max, 1-5]][[[2,-4 max of sentences]]]
various amusing encounters and mishaps befall the participants en route to silver city . 	various amusing encounters and mishaps befall the participants en route to silver city .	2	-1	 various[0] amusing[1] encounters[0] and[0] mishaps[0] befall[0] the[0] participants[0] en[0] route[0] to[0] silver[0] city[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
screenwriter andy breckman adds a nice touch by not having the racers try to sabotage one another . 	screenwriter andy breckman adds a nice touch by not having the racers try to sabotage one another .	2	-2	 screenwriter[0] andy[0] breckman[0] adds[0] a[0] nice[1] touch[0] by[0] not[0] having[0] the[0] racers[0] try[0] to[0] sabotage[-1] one[0] another[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the most side-splitting situations involve vera and merrill's encounter with the squirrel lady , a nice nutsy cameo by kathy bates ; owen's commandeering a charter bus full of lucille ball look-alikes on their way to a lucy convention ; the cody brothers misadventures with a hot-air balloon , a flying cow and a monster truck ; and the pear family's stopover at a barbie museum , which turns out not to be what they think it is . 	the most side-splitting situations involve vera and merrill's encounter with the squirrel lady , a nice nutsy cameo by kathy bates ; owen's commandeering a charter bus full of lucille ball look-alikes on their way to a lucy convention ; the cody brothers misadventures with a hot-air balloon , a flying cow and a monster truck ; and the pear family's stopover at a barbie museum , which turns out not to be what they think it is .	2	-2	 the[0] most[0] side[0] splitting[0] situations[0] involve[0] vera[0] and[0] merrill's[1] encounter[0] with[0] the[0] squirrel[0] lady[0] a[0] nice[1] nutsy[0] cameo[0] by[0] kathy[0] bates[0] owen's[0] commandeering[0] a[0] charter[0] bus[0] full[0] of[0] lucille[0] ball[0] look[0] alikes[0] on[0] their[0] way[0] to[0] a[0] lucy[0] convention[0] the[0] cody[0] brothers[0] misadventures[0] with[0] a[0] hot[0] air[0] balloon[0] a[0] flying[0] cow[0] and[0] a[0] monster[-1] truck[0] and[0] the[0] pear[0] family's[0] stopover[0] at[0] a[0] barbie[0] museum[0] which[0] turns[0] out[0] not[0] to[0] be[0] what[0] they[0] think[0] it[0] is[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
