i'll be the first to admit i didn't expect much from the emperor's new groove : more celine dion-esque song-and-dance numbers , cuddly characters that become cross-promotion devices in mcdonald's happy meals , and hollywood stars trying to gain credibility by adding a voice-over job to their resume . 	Translation	Positive	Negative	EmotionRationale
i was dead wrong about all of those things . 	i was dead wrong about all of those things .	1	-3	 i[0] was[0] dead[-2] wrong[-1] about[0] all[0] of[0] those[0] things[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the emperor's new groove is funny . 	the emperor's new groove is funny .	2	-1	 the[0] emperor's[0] new[0] groove[0] is[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
damn funny . 	damn funny .	2	-2	 damn[-1] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and the cute characters in the film are the dangerous ones . 	and the cute characters in the film are the dangerous ones .	2	-2	 and[0] the[0] cute[1] characters[0] in[0] the[0] film[0] are[0] the[0] dangerous[-1] ones[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the script is fast and furious , with no singing and dancing . 	the script is fast and furious , with no singing and dancing .	1	-4	 the[0] script[0] is[0] fast[0] and[0] furious[-3] with[0] no[0] singing[0] and[0] dancing[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the animation is clean and would give walt a warm feeling all over . 	the animation is clean and would give walt a warm feeling all over .	1	-1	 the[0] animation[0] is[0] clean[0] and[0] would[0] give[0] walt[0] a[0] warm[0] feeling[0] all[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the humor is dry and aimed at both the cynicism and the goodness in all of us . 	the humor is dry and aimed at both the cynicism and the goodness in all of us .	3	-2	 the[0] humor[2] is[0] dry[0] and[0] aimed[0] at[0] both[0] the[0] cynicism[-1] and[0] the[0] goodness[2] in[0] all[0] of[0] us[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the story is ridiculously weird and comes off as a strange acid trip involving talking , cross-dressing llamas and schizophrenia . 	the story is ridiculously weird and comes off as a strange acid trip involving talking , cross-dressing llamas and schizophrenia .	1	-3	 the[0] story[0] is[0] ridiculously[-2] weird[-1] and[0] comes[0] off[0] as[0] a[0] strange[0] acid[0] trip[0] involving[0] talking[0] cross[-1] dressing[0] llamas[0] and[0] schizophrenia[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
here's the plot ; try to follow along . 	here's the plot ; try to follow along .	1	-1	 here's[0] the[0] plot[0] try[0] to[0] follow[0] along[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
set in a mythical kingdom , the film follows the adventures of kuzco ( david spade ) , an arrogant and egocentric emperor . 	set in a mythical kingdom , the film follows the adventures of kuzco ( david spade ) , an arrogant and egocentric emperor .	1	-3	 set[0] in[0] a[0] mythical[0] kingdom[0] the[0] film[0] follows[0] the[0] adventures[0] of[0] kuzco[0] david[0] spade[0] an[0] arrogant[-2] and[0] egocentric[0] emperor[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
