mickey mouse had better watch his back -- there's a new critter in town , and he's the nameless animal attraction of " mouse hunt , " dreamworks skg's clever first foray into family fare . 	Translation	Positive	Negative	EmotionRationale
although it runs out of steam towards its end , this live-action comedy still boasts enough energized slapstick and inventive set pieces to best disney's entire 1997 non-animated , kiddie-oriented catalog . . . 	although it runs out of steam towards its end , this live-action comedy still boasts enough energized slapstick and inventive set pieces to best disney's entire 1997 non-animated , kiddie-oriented catalog .<br> .<br> .	2	-2	 although[0] it[0] runs[0] out[0] of[0] steam[0] towards[0] its[0] end[0] this[0] live[0] action[0] comedy[0] still[0] boasts[-1] enough[0] energized[0] slapstick[-1] and[0] inventive[0] set[0] pieces[0] to[0] best[1] disney's[0] entire[0] 1997[0] non[0] animated[0] kiddie[0] oriented[0] catalog[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but consider that list includes dismal tripe like " air bud , " " flubber " and " that darn cat , " and it's really not such a difficult feat to pull off . 	but consider that list includes dismal tripe like " air bud , " " flubber " and " that darn cat , " and it's really not such a difficult feat to pull off .	2	-2	 but[0] consider[0] that[0] list[0] includes[0] dismal[-1] tripe[0] like[1] air[0] bud[0] flubber[0] and[0] that[0] darn[-1] cat[0] and[0] it's[0] really[0] not[0] such[0] a[0] difficult[-1] feat[0] to[0] pull[0] off[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
still , throw the two rodents in a boxing arena , and i'll be hoping that the mouse from " mouse hunt " knocks some sense back into mickey . 	still , throw the two rodents in a boxing arena , and i'll be hoping that the mouse from " mouse hunt " knocks some sense back into mickey .	2	-1	 still[0] throw[0] the[0] two[0] rodents[0] in[0] a[0] boxing[0] arena[0] and[0] i'll[0] be[0] hoping[1] that[0] the[0] mouse[0] from[0] mouse[0] hunt[0] knocks[0] some[0] sense[0] back[0] into[0] mickey[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nathan lane ( robin williams' significant other from " the birdcage " ) and lee evans ( last seen as a nervous bellhop in " the fifth element " ) play ernie and lars smuntz , befuddled brothers who have just inherited two unwanted assets from their late father ( william hickey , in his last role ) -- a dilapidated old string factory and a dilapidated old mansion . 	nathan lane ( robin williams' significant other from " the birdcage " ) and lee evans ( last seen as a nervous bellhop in " the fifth element " ) play ernie and lars smuntz , befuddled brothers who have just inherited two unwanted assets from their late father ( william hickey , in his last role ) - a dilapidated old string factory and a dilapidated old mansion .	1	-3	 nathan[0] lane[0] robin[0] williams'[0] significant[0] other[0] from[0] the[0] birdcage[0] and[0] lee[0] evans[0] last[0] seen[0] as[0] a[0] nervous[-2] bellhop[0] in[0] the[0] fifth[0] element[0] play[0] ernie[0] and[0] lars[0] smuntz[0] befuddled[0] brothers[0] who[0] have[0] just[0] inherited[0] two[0] unwanted[0] assets[0] from[0] their[0] late[0] father[0] william[0] hickey[0] in[0] his[0] last[0] role[0] a[0] dilapidated[0] old[0] string[0] factory[0] and[0] a[0] dilapidated[0] old[0] mansion[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although lars made a deathbed promise to upkeep the former , he and ernie decide to sell the latter for big bucks after learning it was designed by a famed architect . 	although lars made a deathbed promise to upkeep the former , he and ernie decide to sell the latter for big bucks after learning it was designed by a famed architect .	2	-3	 although[0] lars[0] made[0] a[0] deathbed[-2] promise[1] to[0] upkeep[0] the[0] former[0] he[0] and[0] ernie[0] decide[0] to[0] sell[0] the[0] latter[0] for[0] big[0] bucks[0] after[0] learning[0] it[0] was[0] designed[0] by[0] a[0] famed[0] architect[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but there's a lone obstacle in their way -- a single mouse lives within the walls of the house , and he's not about to give up his place of residence without a fight . 	but there's a lone obstacle in their way - a single mouse lives within the walls of the house , and he's not about to give up his place of residence without a fight .	1	-3	 but[0] there's[0] a[0] lone[-1] obstacle[-1] in[0] their[0] way[0] a[0] single[0] mouse[0] lives[0] within[0] the[0] walls[0] of[0] the[0] house[0] and[0] he's[0] not[0] about[0] to[0] give[0] up[0] his[0] place[0] of[0] residence[0] without[0] a[0] fight[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
movies aimed at young audiences are rarely this visually exquisite . 	movies aimed at young audiences are rarely this visually exquisite .	1	-1	 movies[0] aimed[0] at[0] young[0] audiences[0] are[0] rarely[0] this[0] visually[0] exquisite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the effects blending the talents of 60-some live mice , one animatronic mouse and one computer-generated mouse are pretty seamless . 	the effects blending the talents of 60-some live mice , one animatronic mouse and one computer-generated mouse are pretty seamless .	3	-1	 the[0] effects[0] blending[0] the[0] talents[1] of[0] 60[0] some[0] live[0] mice[0] one[0] animatronic[0] mouse[0] and[0] one[0] computer[0] generated[0] mouse[0] are[0] pretty[2] seamless[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the splendid production design seems to be straight out of tim burton's mind ; the smuntz's architecturally-unsound mansion is like something straight out of " the nightmare before christmas , " and the vortex of bizarre machinery in their factory resembles some of vincent price's warped contraptions from " edward scissorhands . " 	the splendid production design seems to be straight out of tim burton's mind ; the smuntz's architecturally-unsound mansion is like something straight out of " the nightmare before christmas , " and the vortex of bizarre machinery in their factory resembles some of vincent price's warped contraptions from " edward scissorhands .<br> "	3	-3	 the[0] splendid[2] production[0] design[0] seems[0] to[0] be[0] straight[0] out[0] of[0] tim[0] burton's[0] mind[0] the[0] smuntz's[0] architecturally[0] unsound[-1] mansion[0] is[0] like[1] something[0] straight[0] out[0] of[0] the[0] nightmare[-2] before[0] christmas[0] and[0] the[0] vortex[0] of[0] bizarre[-1] machinery[0] in[0] their[0] factory[0] resembles[0] some[0] of[0] vincent[0] price's[0] warped[-1] contraptions[0] from[0] edward[0] scissorhands[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 " mouse hunt " is a pretty dark movie -- even some of the humor can be grim -- but it's hardly ever mean-spirited . 	 " mouse hunt " is a pretty dark movie - even some of the humor can be grim - but it's hardly ever mean-spirited .	3	-3	 mouse[0] hunt[0] is[0] a[0] pretty[2] dark[0] movie[0] even[0] some[0] of[0] the[0] humor[2] can[0] be[0] grim[-2] but[0] it's[0] hardly[0] ever[0] mean[0] spirited[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
