this feature is like a double header , two sets of clich ? s for the price of one . 	Translation	Positive	Negative	EmotionRationale
not only do we get the usual tired sports chestnuts , but the banal rich girl-poor boy love story is tossed in for good measure . 	not only do we get the usual tired sports chestnuts , but the banal rich girl-poor boy love story is tossed in for good measure .	3	-2	 not[0] only[0] do[0] we[0] get[0] the[0] usual[0] tired[-1] sports[0] chestnuts[0] but[0] the[0] banal[-1] rich[0] girl[0] poor[-1] boy[0] love[2] story[0] is[0] tossed[0] in[0] for[0] good[1] measure[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
an original moment in this loser is as rare as a chicago cubs world series appearance . 	an original moment in this loser is as rare as a chicago cubs world series appearance .	1	-3	 an[0] original[0] moment[0] in[0] this[0] loser[-2] is[0] as[0] rare[0] as[0] a[0] chicago[0] cubs[0] world[0] series[0] appearance[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the screenplay by kevin falls and john gatins , based on a story by falls , merely lobs its plotline at the audience . 	the screenplay by kevin falls and john gatins , based on a story by falls , merely lobs its plotline at the audience .	1	-1	 the[0] screenplay[0] by[0] kevin[0] falls[0] and[0] john[0] gatins[0] based[0] on[0] a[0] story[0] by[0] falls[0] merely[0] lobs[0] its[0] plotline[0] at[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a story that needed sent down for seasoning and more coaching . 	this is a story that needed sent down for seasoning and more coaching .	1	-1	 this[0] is[0] a[0] story[0] that[0] needed[0] sent[0] down[0] for[0] seasoning[0] and[0] more[0] coaching[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
summer catch centers around ryan dunne ( freddie prinze jr . ) , a cape cod youth chosen to participate in the prestigious cape cod baseball league , supposedly a showcase for the best young amateur and college players in the country . 	summer catch centers around ryan dune ( freddie prinze jr .<br> ) , a cape cod youth chosen to participate in the prestigious cape cod baseball league , supposedly a showcase for the best young amateur and college players in the country .	2	-1	 summer[0] catch[0] centers[0] around[0] ryan[0] dunne/dune[0] freddie[0] prinze[0] jr[0] [[Sentence=-1,1=word max, 1-5]] a[0] cape[0] cod[0] youth[0] chosen[0] to[0] participate[0] in[0] the[0] prestigious[0] cape[0] cod[0] baseball[0] league[0] supposedly[0] a[0] showcase[0] for[0] the[0] best[1] young[0] amateur[0] and[0] college[0] players[0] in[0] the[0] country[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ryan is a blue-collar kind of guy . 	ryan is a blue-collar kind of guy .	2	-1	 ryan[0] is[0] a[0] blue[0] collar[0] kind[1] of[0] guy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he works with his dad taking care of the lawns of cape cod's rich and famous . 	he works with his dad taking care of the lawns of cape cod's rich and famous .	2	-1	 he[0] works[0] with[0] his[0] dad[0] taking[0] care[1] of[0] the[0] lawns[0] of[0] cape[0] cod's[0] rich[0] and[0] famous[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he also , as we are informed early , his own worst enemy . 	he also , as we are informed early , his own worst enemy .	1	-3	 he[0] also[0] as[0] we[0] are[0] informed[0] early[0] his[0] own[0] worst[-2] enemy[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he has the potential and the talent , but always seems to self-destruct at the crucial moment . 	he has the potential and the talent , but always seems to self-destruct at the crucial moment .	2	-1	 he[0] has[0] the[0] potential[0] and[0] the[0] talent[1] but[0] always[0] seems[0] to[0] self[0] destruct[0] at[0] the[0] crucial[0] moment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so , ryan tries to remained focused on baseball . 	so , ryan tries to remained focused on baseball .	1	-1	 so[0] ryan[0] tries[0] to[0] remained[0] focused[0] on[0] baseball[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
