losing a job is not an all too uncommon thing . 	Translation	Positive	Negative	EmotionRationale
reacting to such a personal setback by taking a group of small children hostage is a bit more rare . 	reacting to such a personal setback by taking a group of small children hostage is a bit more rare .	1	-1	 reacting[0] to[0] such[0] a[0] personal[0] setback[0] by[0] taking[0] a[0] group[0] of[0] small[0] children[0] hostage[0] is[0] a[0] bit[0] more[0] rare[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while we all might feel the desire to blow someone's head off with a shotgun when they don't seem to grasp our point of view , actually threatening them with one is usually something we avoid . 	while we all might feel the desire to blow someone's head off with a shotgun when they don't seem to grasp our point of view , actually threatening them with one is usually something we avoid .	1	-3	 while[0] we[0] all[0] might[0] feel[0] the[0] desire[0] to[0] blow[0] someone's[0] head[0] off[0] with[0] a[0] shotgun[0] when[0] they[0] don't[0] seem[0] to[0] grasp[0] our[0] point[0] of[0] view[0] actually[0] threatening[-2] them[0] with[0] one[0] is[0] usually[0] something[0] we[0] avoid[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this isn't the case with sam baily - john travolta's slightly askew average-joe persona in mad city . 	this isn't the case with sam baily - john travolta's slightly askew average-joe persona in mad city .	1	-2	 this[0] isn't[0] the[0] case[0] with[0] sam[0] baily[-1] john[0] travolta's[0] slightly[0] askew[0] average[0] joe[0] persona[0] in[0] mad[-1] city[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " i don't think people listen to guys like me , " sam laments during an exclusive interview from behind the walls of a museum . 	 " i don't think people listen to guys like me , " sam laments during an exclusive interview from behind the walls of a museum .	2	-2	 i[0] don't[0] think[0] people[0] listen[0] to[0] guys[0] like[1] me[0] sam[0] laments[-1] during[0] an[0] exclusive[0] interview[0] from[0] behind[0] the[0] walls[0] of[0] a[0] museum[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
just a few days ago , sam was a guard at this same museum , but when cutbacks led to the elimination of his security position , sam's apprehension resulted in a brash decision . 	just a few days ago , sam was a guard at this same museum , but when cutbacks led to the elimination of his security position , sam's apprehension resulted in a brash decision .	2	-3	 just[0] a[0] few[0] days[0] ago[0] sam[0] was[0] a[0] guard[0] at[0] this[0] same[0] museum[0] but[0] when[0] cutbacks[0] led[0] to[0] the[0] elimination[-1] of[0] his[0] security[1] position[0] sam's[0] apprehension[-2] resulted[0] in[0] a[0] brash[0] decision[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in an effort to get his ex-boss , museum director mrs . banks ( blythe danner ) , to " just listen " , he barges into the museum one day equipped with a fully loaded shotgun , taking the uncooperative banks and a group of school children hostage . 	in an effort to get his ex-boss , museum director mrs .<br> banks ( blythe danner ) , to " just listen " , he barges into the museum one day equipped with a fully loaded shotgun , taking the uncooperative banks and a group of school children hostage .	1	-1	 in[0] an[0] effort[0] to[0] get[0] his[0] ex[0] boss[0] museum[0] director[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] banks[0] blythe[0] danner[0] to[0] just[0] listen[0] he[0] barges[0] into[0] the[0] museum[0] one[0] day[0] equipped[0] with[0] a[0] fully[0] loaded[0] shotgun[0] taking[0] the[0] uncooperative[0] banks[0] and[0] a[0] group[0] of[0] school[0] children[0] hostage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sam's overall concern is valid enough - if he loses his job , his paycheck , his benefits , etc . , his wife and two children won't be provided for . 	sam's overall concern is valid enough - if he loses his job , his paycheck , his benefits , etc .<br> , his wife and two children won't be provided for .	1	-2	 sam's[0] overall[0] concern[-1] is[0] valid[0] enough[0] if[0] he[0] loses[-1] his[0] job[0] his[0] paycheck[0] his[0] benefits[0] etc[0] [[Sentence=-2,1=word max, 1-5]] his[0] wife[0] and[0] two[0] children[0] won't[0] be[0] provided[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's not a lunatic or a hot-tempered madman , he's somewhat like a child - panicky , compulsive , and running on emotion - and his naive intentions aren't helped any by the fact that banks wasn't overly compassionate with the let go . 	he's not a lunatic or a hot-tempered madman , he's somewhat like a child - panicky , compulsive , and running on emotion - and his naive intentions aren't helped any by the fact that banks wasn't overly compassionate with the let go .	2	-3	 he's[0] not[0] a[0] lunatic[-1][NegatedDueToPreviousWord] or[0] a[0] hot[0] tempered[0] madman[-1] he's[0] somewhat[0] like[1] a[0] child[0] panicky[-2] compulsive[0] and[0] running[0] on[0] emotion[0] and[0] his[0] naive[-1] intentions[0] aren't[0] helped[0] any[0] by[0] the[0] fact[0] that[0] banks[0] wasn't[0] overly[0] compassionate[1] with[0] the[0] let[0] go[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
overall , he's just like you and me - except that he has the capacity to view the line we'd deem " far enough " as the starting mark of some crazy race . 	overall , he's just like you and me - except that he has the capacity to view the line we'd deem " far enough " as the starting mark of some crazy race .	1	-1	 overall[0] he's[0] just[0] like[1][-1 LastWordBoosterStrength] you[0] and[0] me[0] except[0] that[0] he[0] has[0] the[0] capacity[0] to[0] view[0] the[0] line[0] we'd[0] deem[0] far[0] enough[0] as[0] the[0] starting[0] mark[0] of[0] some[0] crazy[-1][--1 LastWordBoosterStrength] race[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , television reporter max brackett ( dustin hoffman ) is also on the scene . 	meanwhile , television reporter max bracket ( dustin hoffman ) is also on the scene .	1	-1	 meanwhile[0] television[0] reporter[0] max[0] brackett/bracket[0] dustin[0] hoffman[0] is[0] also[0] on[0] the[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
