billed as a " feminist sex fantasy " , this spirited , imaginative and thoroughly engaging film by the award-winning canadian director cynthia roberts , is destined for extreme reactions . 	Translation	Positive	Negative	EmotionRationale
camille paglia enthusiasts will no doubt champion this heart-felt tale of the title character bubbles galore ( nina hartley ) , a porn-actress-turned-porn-producer who faces an uphill battle in her quest for sexual and economic independence . 	camille paglia enthusiasts will no doubt champion this heart-felt tale of the title character bubbles galore ( nina hartley ) , a porn-actress-turned-porn-producer who faces an uphill battle in her quest for sexual and economic independence .	3	-2	 camille[0] paglia[0] enthusiasts[2] will[0] no[0] doubt[-1] champion[0] this[0] heart[0] felt[0] tale[0] of[0] the[0] title[0] character[0] bubbles[0] galore[0] nina[0] hartley[0] a[0] porn[0] actress[0] turned[0] porn[0] producer[0] who[0] faces[0] an[0] uphill[0] battle[-1] in[0] her[0] quest[0] for[0] sexual[0] and[0] economic[0] independence[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however , those in the andrea dworkin camp , will no doubt loathe the film's decidedly pro-porn stance . 	however , those in the andrea dworkin camp , will no doubt loathe the film's decidedly pro-porn stance .	1	-2	 however[0] those[0] in[0] the[0] andrea[0] dworkin[0] camp[0] will[0] no[0] doubt[-1] loathe[0] the[0] film's[0] decidedly[0] pro[0] porn[0] stance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
political considerations aside , however , this is a delightful lesbian love story as the film takes us on a whirlwind tour of bubbles' romantic entanglements with a naive and virginal young porn starlet dory drawers ( shauny sexton ) . 	political considerations aside , however , this is a delightful lesbian love story as the film takes us on a whirlwind tour of bubbles' romantic entanglements with a naive and virginal young porn starlet dory drawers ( shauny sexton ) .	4	-2	 political[0] considerations[0] aside[0] however[0] this[0] is[0] a[0] delightful[2] lesbian[0] love[2] story[0] as[0] the[0] film[0] takes[0] us[0] on[0] a[0] whirlwind[0] tour[0] of[0] bubbles'[0] romantic[3] entanglements[-1] with[0] a[0] naive[-1] and[0] virginal[0] young[0] porn[0] starlet[0] dory[0] drawers[0] shauny[0] sexton[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in the backdrop , however is bubbles' loyal assistant vivian klitorsky ( tracy wright ) who pines longingly for the affections of her bubbly boss . 	in the backdrop , however is bubbles' loyal assistant vivian klitorsky ( tracy wright ) who pines longingly for the affections of her bubbly boss .	3	-3	 in[0] the[0] backdrop[0] however[0] is[0] bubbles'[0] loyal[1] assistant[0] vivian[0] klitorsky[0] tracy[0] wright[0] who[0] pines[0] longingly[-2] for[0] the[0] affections[2] of[0] her[0] bubbly[0] boss[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this femme-butch-femme triangle is what provides the film with considerable humanity * and * sensuality . 	this femme-butch-femme triangle is what provides the film with considerable humanity * and * sensuality .	1	-1	 this[0] femme[0] butch[0] femme[0] triangle[0] is[0] what[0] provides[0] the[0] film[0] with[0] considerable[0] humanity[0] and[0] sensuality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in addition to the romantic aspects of the story , bubbles is being stalked and terrorized by her ex-boyfriend godfrey montana ( daniel macivor ) , a slimy porn mogul who wishes to make her life as miserable as he can possibly make it . 	in addition to the romantic aspects of the story , bubbles is being stalked and terrorized by her ex-boyfriend godfrey montana ( daniel macivor ) , a slimy porn mogul who wishes to make her life as miserable as he can possibly make it .	4	-3	 in[0] addition[0] to[0] the[0] romantic[3] aspects[0] of[0] the[0] story[0] bubbles[0] is[0] being[0] stalked[0] and[0] terrorized[-2] by[0] her[0] ex[0] boyfriend[0] godfrey[0] montana[0] daniel[0] macivor[0] a[0] slimy[0] porn[0] mogul[0] who[0] wishes[0] to[0] make[0] her[0] life[0] as[0] miserable[-2] as[0] he[0] can[0] possibly[0] make[0] it[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
when his plans to sabotage her latest film fall through , he snaps and psychotically decides to kill her . 	when his plans to sabotage her latest film fall through , he snaps and psychotically decides to kill her .	1	-2	 when[0] his[0] plans[0] to[0] sabotage[-1] her[0] latest[0] film[0] fall[0] through[0] he[0] snaps[0] and[0] psychotically[0] decides[0] to[0] kill[-1] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these proceedings are presided over by a most heavenly presence . 	these proceedings are presided over by a most heavenly presence .	2	-1	 these[0] proceedings[0] are[0] presided[0] over[0] by[0] a[0] most[0] heavenly[1] presence[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
god herself - yes , in the world of this film , god , is most definitely a " her " - and a chorus of undulating , scantily-clad angels , have their most watchful and lustful eyes on the events as they unfold , adding a lovely fantasy element to this frothy concoction . 	god herself - yes , in the world of this film , god , is most definitely a " her " - and a chorus of undulating , scantily-clad angels , have their most watchful and lustful eyes on the events as they unfold , adding a lovely fantasy element to this frothy concoction .	2	-1	 god[0] herself[0] yes[0] in[0] the[0] world[0] of[0] this[0] film[0] god[0] is[0] most[0] definitely[0] a[0] her[0] and[0] a[0] chorus[0] of[0] undulating[0] scantily[0] clad[0] angels[0] have[0] their[0] most[0] watchful[0] and[0] lustful[0] eyes[0] on[0] the[0] events[0] as[0] they[0] unfold[0] adding[0] a[0] lovely[1] fantasy[0] element[0] to[0] this[0] frothy[0] concoction[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this bright , colourful and deliriously sexy film is chock-full of great performances . 	this bright , colourful and deliriously sexy film is chock-full of great performances .	3	-1	 this[0] bright[0] colourful[0] and[0] deliriously[0] sexy[2] film[0] is[0] chock[0] full[0] of[0] great[2] performances[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
