originally launched in 1978 , this popular film was re-introduced in 1998 to a whole new generation of moviegoers . 	Translation	Positive	Negative	EmotionRationale
based on the mighty successful musical from broadway , grease was followed in 1980 with the less stellar grease 2 ( 6 . 5/10 ) , 	based on the mighty successful musical from broadway , grease was followed in 1980 with the less stellar grease 2 ( 6 .<br> 5/10 ) ,	3	-1	 based[0] on[0] the[0] mighty[0] successful[2] musical[0] from[0] broadway[0] grease[0] was[0] followed[0] in[0] 1980[0] with[0] the[0] less[0] stellar[0] grease[0] 2[0] 6[0] [[Sentence=-1,3=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
starring a young michelle pheiffer in one of her first feature film roles . 	starring a young michelle pheiffer in one of her first feature film roles .	1	-1	 starring[0] a[0] young[0] michelle[0] pheiffer[0] in[0] one[0] of[0] her[0] first[0] feature[0] film[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
plot : high-school musical set in the 1950's showcasing the relationship between the cool danny zuko of the t-birds ( travolta ) and the innocent and pure sandy olsen ( newton-john ) from australia . 	plot : high-school musical set in the 1950's showcasing the relationship between the cool danny zuko of the t-birds ( travolta ) and the innocent and pure sandy olsen ( newton-john ) from australia .	2	-1	 plot[0] high[0] school[0] musical[0] set[0] in[0] the[0] 1950's[0] showcasing[0] the[0] relationship[0] between[0] the[0] cool[1] danny[0] zuko[0] of[0] the[0] t[0] birds[0] travolta[0] and[0] the[0] innocent[1] and[0] pure[0] sandy[0] olsen[0] newton[0] john[0] from[0] australia[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film follows the couple and their vivacious friends during their last year at rydell high through song , dance and humour . 	the film follows the couple and their vivacious friends during their last year at rydell high through song , dance and humour .	3	-1	 the[0] film[0] follows[0] the[0] couple[0] and[0] their[0] vivacious[0] friends[1] during[0] their[0] last[0] year[0] at[0] rydell[0] high[0] through[0] song[0] dance[0] and[0] humour[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
critique : fun-loving , energetic and innocent look back at times much simpler . 	critique : fun-loving , energetic and innocent look back at times much simpler .	4	-1	 critique[0] fun[1] loving[3] energetic[0] and[0] innocent[1] look[0] back[0] at[0] times[0] much[0] simpler[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this movie effectively juggles a thin romantic story line and the overall experience of the 1950's , with a superb soundtrack and some great dance numbers . 	this movie effectively juggles a thin romantic story line and the overall experience of the 1950's , with a superb soundtrack and some great dance numbers .	4	-1	 this[0] movie[0] effectively[0] juggles[0] a[0] thin[0] romantic[3] story[0] line[0] and[0] the[0] overall[0] experience[0] of[0] the[0] 1950's[0] with[0] a[0] superb[0] soundtrack[0] and[0] some[0] great[2][-1 LastWordBoosterStrength] dance[0] numbers[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
admittedly , i am somewhat biased in this opinion , since this film blasts me into my past as a rebellious youth ( grease was one of schmoe's first big-screen experiences , and every other scene sends me reeling into the times of my elaborate grease bubble-gum card collection ) , and the lesser responsibilities that i possessed at that time . 	admittedly , i am somewhat biased in this opinion , since this film blasts me into my past as a rebellious youth ( grease was one of schmoe's first big-screen experiences , and every other scene sends me reeling into the times of my elaborate grease bubble-gum card collection ) , and the lesser responsibilities that i possessed at that time .	1	-2	 admittedly[0] i[0] am[0] somewhat[0] biased[0] in[0] this[0] opinion[0] since[0] this[0] film[0] blasts[0] me[0] into[0] my[0] past[0] as[0] a[0] rebellious[-1] youth[0] grease[0] was[0] one[0] of[0] schmoe's[0] first[0] big[0] screen[0] experiences[0] and[0] every[0] other[0] scene[0] sends[0] me[0] reeling[0] into[0] the[0] times[0] of[0] my[0] elaborate[0] grease[0] bubble[0] gum[0] card[0] collection[0] and[0] the[0] lesser[0] responsibilities[0] that[0] i[0] possessed[0] at[0] that[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but apart from the nostalgic vibe , i was still extremely impressed by this film , as it continued to amuse me , despite my previous dozen or so viewings . 	but apart from the nostalgic vibe , i was still extremely impressed by this film , as it continued to amuse me , despite my previous dozen or so viewings .	4	-1	 but[0] apart[0] from[0] the[0] nostalgic[0] vibe[0] i[0] was[0] still[0] extremely[0] impressed[1][2 LastWordBoosterStrength] by[0] this[0] film[0] as[0] it[0] continued[0] to[0] amuse[1] me[0] despite[0] my[0] previous[0] dozen[0] or[0] so[0] viewings[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this film took john travolta from a dim-witted " sweathog " on tv's welcome back kotter , and transformed him into a movie-star of spectacular proportions ( saturday night fever ( 7 . 5/10 ) in 1979 confirmed that sudden popularity ) . 	this film took john travolta from a dim-witted " sweathog " on tv's welcome back kotter , and transformed him into a movie-star of spectacular proportions ( saturday night fever ( 7 .<br> 5/10 ) in 1979 confirmed that sudden popularity ) .	2	-2	 this[0] film[0] took[0] john[0] travolta[0] from[0] a[0] dim[-1] witted[0] sweathog[0] on[0] tv's[0] welcome[1] back[0] kotter[0] and[0] transformed[0] him[0] into[0] a[0] movie[0] star[0] of[0] spectacular[0] proportions[0] saturday[0] night[0] fever[-1] 7[0] [[Sentence=-2,2=word max, 1-5]] 5/10[0] in[0] 1979[0] confirmed[0] that[0] sudden[0] popularity[1] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately for the rest of the cast , his popularity was not terribly contagious , despite their effective showings in this classic movie . 	unfortunately for the rest of the cast , his popularity was not terribly contagious , despite their effective showings in this classic movie .	4	-2	 unfortunately[-1] for[0] the[0] rest[0] of[0] the[0] cast[0] his[0] popularity[1] was[0] not[0] terribly[-3][NegatedDueToPreviousWord] contagious[-1][NegatedDueToPreviousWord] despite[0] their[0] effective[0] showings[0] in[0] this[0] classic[0] movie[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
