the muppet movie is the first , and the best movie among the ever-growing list of muppet movies . 	Translation	Positive	Negative	EmotionRationale
the muppet movie tells the story of how our hero , kermit the frog , came to be a star . 	the muppet movie tells the story of how our hero , kermit the frog , came to be a star .	3	-1	 the[0] muppet[0] movie[0] tells[0] the[0] story[0] of[0] how[0] our[0] hero[2] kermit[0] the[0] frog[0] came[0] to[0] be[0] a[0] star[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a delightful movie for all ages , the muppet movie is * bursting * with cameo appearances by countless hollywood stars of the 80's and today . 	a delightful movie for all ages , the muppet movie is * bursting * with cameo appearances by countless hollywood stars of the 80's and today .	3	-1	 a[0] delightful[2] movie[0] for[0] all[0] ages[0] the[0] muppet[0] movie[0] is[0] bursting[0] with[0] cameo[0] appearances[0] by[0] countless[0] hollywood[0] stars[0] of[0] the[0] 80's[0] and[0] today[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the muppet movie begins in a movie theater , where all of the muppet stars are anxiously awaiting the first showing . 	the muppet movie begins in a movie theater , where all of the muppet stars are anxiously awaiting the first showing .	1	-3	 the[0] muppet[0] movie[0] begins[0] in[0] a[0] movie[0] theater[0] where[0] all[0] of[0] the[0] muppet[0] stars[0] are[0] anxiously[-2] awaiting[0] the[0] first[0] showing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
once everyone is settled down , the movie inside of the movie begins . 	once everyone is settled down , the movie inside of the movie begins .	1	-1	 once[0] everyone[0] is[0] settled[0] down[0] the[0] movie[0] inside[0] of[0] the[0] movie[0] begins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it starts out with kermit in a swamp , playing his banjo and singing ( this shot required jim henson to spend hours underwater ) . 	it starts out with kermit in a swamp , playing his banjo and singing ( this shot required jim henson to spend hours underwater ) .	2	-2	 it[0] starts[0] out[0] with[0] kermit[0] in[0] a[0] swamp[0] playing[1] his[0] banjo[0] and[0] singing[0] this[0] shot[-1] required[0] jim[0] henson[0] to[0] spend[0] hours[0] underwater[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
kermit is discovered by bernie , a big-time hollywood agent who happens upon kermit by accident . 	kermit is discovered by bernie , a big-time hollywood agent who happens upon kermit by accident .	1	-2	 kermit[0] is[0] discovered[0] by[0] bernie[0] a[0] big[0] time[0] hollywood[0] agent[0] who[0] happens[0] upon[0] kermit[0] by[0] accident[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bernie believes that kermit holds much potential to become a big star in hollywood . 	bernie believes that kermit holds much potential to become a big star in hollywood .	1	-1	 bernie[0] believes[0] that[0] kermit[0] holds[0] much[0] potential[0] to[0] become[0] a[0] big[0] star[0] in[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kermit ponders the idea of becoming a big movie star , where he could " make millions of people happy " . 	kermit ponders the idea of becoming a big movie star , where he could " make millions of people happy " .	2	-1	 kermit[0] ponders[0] the[0] idea[0] of[0] becoming[0] a[0] big[0] movie[0] star[0] where[0] he[0] could[0] make[0] millions[0] of[0] people[0] happy[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kermit decides to leave his swamp and make the trip out to hollywood . 	kermit decides to leave his swamp and make the trip out to hollywood .	1	-1	 kermit[0] decides[0] to[0] leave[0] his[0] swamp[0] and[0] make[0] the[0] trip[0] out[0] to[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along the way , kermit befriends his now famous muppet companions , beginning with fozzie bear , who had been spending his days doing stand-up comedy at the el sleezo cafe , owned by james coburn . 	along the way , kermit befriends his now famous muppet companions , beginning with fozie bear , who had been spending his days doing stand-up comedy at the el sleezo cafe , owned by james coburn .	1	-1	 along[0] the[0] way[0] kermit[0] befriends[0] his[0] now[0] famous[0] muppet[0] companions[0] beginning[0] with[0] fozzie/fozie[0] bear[0] who[0] had[0] been[0] spending[0] his[0] days[0] doing[0] stand[0] up[0] comedy[0] at[0] the[0] el[0] sleezo[0] cafe[0] owned[0] by[0] james[0] coburn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
