bruce willis needs to stay away from straightforward action pictures . 	Translation	Positive	Negative	EmotionRationale
mercury rising adds to a growing list ( including such stinkers as the jackal , last man standing , striking distance and the last boy scout ) of stale actioners he has headlined . 	mercury rising adds to a growing list ( including such stinkers as the jackal , last man standing , striking distance and the last boy scout ) of stale actioners he has headlined .	1	-3	 mercury[0] rising[0] adds[0] to[0] a[0] growing[0] list[0] including[0] such[0] stinkers[-2] as[0] the[0] jackal[0] last[0] man[0] standing[0] striking[0] distance[0] and[0] the[0] last[0] boy[0] scout[0] of[0] stale[-1] actioners[0] he[0] has[0] headlined[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and though mercury rising tries to spice things up by throwing an autistic kid in the mix , it is every bit as stale . 	and though mercury rising tries to spice things up by throwing an autistic kid in the mix , it is every bit as stale .	1	-2	 and[0] though[0] mercury[0] rising[0] tries[0] to[0] spice[0] things[0] up[0] by[0] throwing[0] an[0] autistic[0] kid[0] in[0] the[0] mix[0] it[0] is[0] every[0] bit[0] as[0] stale[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
art jeffries ( bruce willis ) is your typical tormented fbi agent . 	art jeffries ( bruce willis ) is your typical tormented fbi agent .	1	-1	 art[0] jeffries[0] bruce[0] willis[0] is[0] your[0] typical[0] tormented[0] fbi[0] agent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you know the type , haunted by his job , yet so good at what he does that even physically assaulting another agent merely gets him a slap on the wrist . 	you know the type , haunted by his job , yet so good at what he does that even physically assaulting another agent merely gets him a slap on the wrist .	2	-3	 you[0] know[0] the[0] type[0] haunted[0] by[0] his[0] job[0] yet[0] so[0] good[1] at[0] what[0] he[0] does[0] that[0] even[0] physically[0] assaulting[-2] another[0] agent[0] merely[0] gets[0] him[0] a[0] slap[-1] on[0] the[0] wrist[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
enter simon ( miko hughes ) , an autistic boy , who , like rain man and all other autistic people , is a savant . 	enter simon ( miko hughes ) , an autistic boy , who , like rain man and all other autistic people , is a savant .	2	-1	 enter[0] simon[0] miko[0] hughes[0] an[0] autistic[0] boy[0] who[0] like[1] rain[0] man[0] and[0] all[0] other[0] autistic[0] people[0] is[0] a[0] savant[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he can merely gaze at a super-encrypted message , and , while little computer beeps go off in his head , he can understand what it says . 	he can merely gaze at a super-encrypted message , and , while little computer beeps go off in his head , he can understand what it says .	3	-1	 he[0] can[0] merely[0] gaze[0] at[0] a[0] super[2] encrypted[0] message[0] and[0] while[0] little[0] computer[0] beeps[0] go[0] off[0] in[0] his[0] head[0] he[0] can[0] understand[0] what[0] it[0] says[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
naturally , this talent has brought him to the attention of the federal government . 	naturally , this talent has brought him to the attention of the federal government .	2	-1	 naturally[0] this[0] talent[1] has[0] brought[0] him[0] to[0] the[0] attention[0] of[0] the[0] federal[0] government[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lt . col . nicholas kudrow ( alec baldwin ) , an nsa official bubbling over with evil , has spent countless time and money implementing the newest " unbreakable " code , mercury . 	lt .<br> col .<br> nicholas kudrow ( alec baldwin ) , an nsa official bubbling over with evil , has spent countless time and money implementing the newest " unbreakable " code , mercury .	1	-3	 lt[0] [[Sentence=-1,1=word max, 1-5]] col[0] [[Sentence=-1,1=word max, 1-5]] nicholas[0] kudrow[0] alec[0] baldwin[0] an[0] nsa[0] official[0] bubbling[0] over[0] with[0] evil[-2] has[0] spent[0] countless[0] time[0] and[0] money[0] implementing[0] the[0] newest[0] unbreakable[0] code[0] mercury[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , when two of his underlings ( robert stanton and bodhi pine elfman ) publish a mercury-encrypted message in a puzzle magazine as a final test of its effectiveness , simon cracks the code . 	however , when two of his underlings ( robert stanton and bodhi pine elfman ) publish a mercury-encrypted message in a puzle magazine as a final test of its effectiveness , simon cracks the code .	1	-1	 however[0] when[0] two[0] of[0] his[0] underlings[0] robert[0] stanton[0] and[0] bodhi[0] pine[0] elfman[0] publish[0] a[0] mercury[0] encrypted[0] message[0] in[0] a[0] puzzle/puzle[0] magazine[0] as[0] a[0] final[0] test[0] of[0] its[0] effectiveness[0] simon[0] cracks[0] the[0] code[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
naturally , this infuriates kudrow , who sends a terminator-like hitman ( l . l . 	naturally , this infuriates kudrow , who sends a terminator-like hitman ( l .<br> l .	2	-2	 naturally[0] this[0] infuriates[-1] kudrow[0] who[0] sends[0] a[0] terminator[0] like[1] hitman[0] l[0] [[Sentence=-2,2=word max, 1-5]] l[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
ginter ) to eliminate the security hazard . 	ginter ) to eliminate the security hazard .	2	-2	 ginter[0] to[0] eliminate[-1] the[0] security[1] hazard[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and that's where art jeffries comes in . 	and that's where art jeffries comes in .	1	-1	 and[0] that's[0] where[0] art[0] jeffries[0] comes[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for some reason that's never explained in the film , the fbi is called in to help , and through a series of intricate machinations , art becomes the sole protector of the young autistic boy . 	for some reason that's never explained in the film , the fbi is called in to help , and through a series of intricate machinations , art becomes the sole protector of the young autistic boy .	1	-1	 for[0] some[0] reason[0] that's[0] never[0] explained[0] in[0] the[0] film[0] the[0] fbi[0] is[0] called[0] in[0] to[0] help[0] and[0] through[0] a[0] series[0] of[0] intricate[0] machinations[0] art[0] becomes[0] the[0] sole[0] protector[0] of[0] the[0] young[0] autistic[0] boy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a few unrealistic sequences , he enlists the aid of a stranger , stacey ( kim dickens ) , to help out , but she is given very little to do overall . 	in a few unrealistic sequences , he enlists the aid of a stranger , stacey ( kim dickens ) , to help out , but she is given very little to do overall .	1	-1	 in[0] a[0] few[0] unrealistic[0] sequences[0] he[0] enlists[0] the[0] aid[0] of[0] a[0] stranger[0] stacey[0] kim[0] dickens[0] to[0] help[0] out[0] but[0] she[0] is[0] given[0] very[0] little[0] to[0] do[0] overall[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the central concept behind mercury rising is ludicrous . 	the central concept behind mercury rising is ludicrous .	1	-3	 the[0] central[0] concept[0] behind[0] mercury[0] rising[0] is[0] ludicrous[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
why bother trying to kill the kid . . . i 	why bother trying to kill the kid .<br> .<br> .<br> i	1	-2	 why[0] bother[-1] trying[0] to[0] kill[-1] the[0] kid[0] [[Sentence=-2,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
mean , who would know ? 	mean , who would know ?	1	-1	 mean[0] who[0] would[0] know[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not like the kid ( or anyone else for that matter ) knew he was cracking a government super-cypher . 	it's not like the kid ( or anyone else for that matter ) knew he was cracking a government super-cypher .	3	-2	 it's[0] not[0] like[1][NegatedDueToPreviousWord] the[0] kid[0] or[0] anyone[0] else[0] for[0] that[0] matter[0] knew[0] he[0] was[0] cracking[0] a[0] government[0] super[2] cypher[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and even if he is eliminated , what does that help ? 	and even if he is eliminated , what does that help ?	1	-1	 and[0] even[0] if[0] he[0] is[0] eliminated[0] what[0] does[0] that[0] help[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's already proven that mercury can be broken . 	he's already proven that mercury can be broken .	1	-2	 he's[0] already[0] proven[0] that[0] mercury[0] can[0] be[0] broken[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's always the chance that someone else would crack it . . . but 	there's always the chance that someone else would crack it .<br> .<br> .<br> but	1	-1	 there's[0] always[0] the[0] chance[0] that[0] someone[0] else[0] would[0] crack[0] it[0] [[Sentence=-1,1=word max, 1-5]] but[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
