in arguably the most anticipated movie this century , george lucas has achieved a very mixed reaction to a sure blockbuster . 	Translation	Positive	Negative	EmotionRationale
despite the fact the script and plot is a bit of a let down , the entire movie on the whole can be considered a milestone in technical excellence , in the sound and special effects department . 	despite the fact the script and plot is a bit of a let down , the entire movie on the whole can be considered a milestone in technical excellence , in the sound and special effects department .	4	-1	 despite[0] the[0] fact[0] the[0] script[0] and[0] plot[0] is[0] a[0] bit[0] of[0] a[0] let[0] down[0] the[0] entire[0] movie[0] on[0] the[0] whole[0] can[0] be[0] considered[0] a[0] milestone[0] in[0] technical[0] excellence[3] in[0] the[0] sound[0] and[0] special[1] effects[0] department[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
in terms of characters , by far the most outstanding and interesting is queen amidala ( natalie portman ) , whose mature performance far exceeds her tender 14 years of age . 	in terms of characters , by far the most outstanding and interesting is queen amidala ( natalie portman ) , whose mature performance far exceeds her tender 14 years of age .	3	-1	 in[0] terms[0] of[0] characters[0] by[0] far[0] the[0] most[0] outstanding[2] and[0] interesting[1] is[0] queen[0] amidala[0] natalie[0] portman[0] whose[0] mature[0] performance[0] far[0] exceeds[0] her[0] tender[2] 14[0] years[0] of[0] age[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she is one ? hot' babe who defines true ? woman leadership' . 	she is one ?<br> hot' babe who defines true ?<br> woman leadership' .	2	-1	 she[0] is[0] one[0] [[Sentence=-1,1=word max, 1-5]] hot'[0] babe[0] who[0] defines[0] true[1] [[Sentence=-1,2=word max, 1-5]] woman[0] leadership'[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
she not only has a presence , but knows how to take command of the situation and save her planet from ruination . 	she not only has a presence , but knows how to take command of the situation and save her planet from ruination .	2	-2	 she[0] not[0] only[0] has[0] a[0] presence[0] but[0] knows[0] how[0] to[0] take[0] command[0] of[0] the[0] situation[0] and[0] save[1] her[0] planet[0] from[0] ruination[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
no thanks to the jedi knights who although led by the force , lack leadership qualities in terms of thinking up a plan to do anything . 	no thanks to the jedi knights who although led by the force , lack leadership qualities in terms of thinking up a plan to do anything .	2	-2	 no[0] thanks[1] to[0] the[0] jedi[0] knights[0] who[0] although[0] led[0] by[0] the[0] force[-1] lack[-1] leadership[0] qualities[0] in[0] terms[0] of[0] thinking[0] up[0] a[0] plan[0] to[0] do[0] anything[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the young obi-wan kenobi ( ewan mcgregor ) who has a bad hair day in every scene , gets to kill a bad guy in the end , but lacks a love interest to make him a desirable sort of hero . 	the young obi-wan kenobi ( ewan mcgregor ) who has a bad hair day in every scene , gets to kill a bad guy in the end , but lacks a love interest to make him a desirable sort of hero .	4	-2	 the[0] young[0] obi[0] wan[0] kenobi[0] ewan[0] mcgregor[0] who[0] has[0] a[0] bad[-1] hair[0] day[0] in[0] every[0] scene[0] gets[0] to[0] kill[-1] a[0] bad[-1] guy[0] in[0] the[0] end[0] but[0] lacks[0] a[0] love[2] interest[1] to[0] make[0] him[0] a[0] desirable[3] sort[0] of[0] hero[2] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in fact all the jedi knight are a bit asexual - there must be something about the force which makes them all hermits and loners . 	in fact all the jedi knight are a bit asexual - there must be something about the force which makes them all hermits and loners .	1	-2	 in[0] fact[0] all[0] the[0] jedi[0] knight[0] are[0] a[0] bit[0] asexual[0] there[0] must[0] be[0] something[0] about[0] the[0] force[-1] which[0] makes[0] them[0] all[0] hermits[0] and[0] loners[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i mean it would be interesting to see yoda's girlfriend for a change , if he has one . 	i mean it would be interesting to see yoda's girlfriend for a change , if he has one .	2	-1	 i[0] mean[0] it[0] would[0] be[0] interesting[1] to[0] see[0] yoda's[0] girlfriend[0] for[0] a[0] change[0] if[0] he[0] has[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not much better is qui-gon jinn ( liam neeson ) who mostly broods , and has a better hair do than obi-wan , but only to find the young anakin skywalker and make the biggest mistake of his life . 	not much better is qui-gon jin ( liam neeson ) who mostly broods , and has a better hair do than obi-wan , but only to find the young anakin skywalker and make the biggest mistake of his life .	1	-2	 not[0] much[0] better[0] is[0] qui[0] gon[0] jinn/jin[0] liam[0] neeson[0] who[0] mostly[0] broods[-1] and[0] has[0] a[0] better[0] hair[0] do[0] than[0] obi[0] wan[0] but[0] only[0] to[0] find[0] the[0] young[0] anakin[0] skywalker[0] and[0] make[0] the[0] biggest[0] mistake[-1] of[0] his[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also fascinating is george lucas ? metoclorian' theory , which claims that micro-organisms live within our cells and tie us to the fabric of the universe . 	also fascinating is george lucas ?<br> metoclorian' theory , which claims that micro-organisms live within our cells and tie us to the fabric of the universe .	1	-1	 also[0] fascinating[0] is[0] george[0] lucas[0] [[Sentence=-1,1=word max, 1-5]] metoclorian'[0] theory[0] which[0] claims[0] that[0] micro[0] organisms[0] live[0] within[0] our[0] cells[0] and[0] tie[0] us[0] to[0] the[0] fabric[0] of[0] the[0] universe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it is the high concentrations of these organisms in an individual which make them particularly powerful in the force . 	and it is the high concentrations of these organisms in an individual which make them particularly powerful in the force .	1	-2	 and[0] it[0] is[0] the[0] high[0] concentrations[0] of[0] these[0] organisms[0] in[0] an[0] individual[0] which[0] make[0] them[0] particularly[0] powerful[0] in[0] the[0] force[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
