ingredients : starving artist lusting after a beautiful woman from his childhood 	Translation	Positive	Negative	EmotionRationale
synopsis : great expectations ( 1998 ) is a modernized version of a charles dickens novel . 	synopsis : great expectations ( 1998 ) is a modernized version of a charles dickens novel .	3	-1	 synopsis[0] great[2] expectations[0] 1998[0] is[0] a[0] modernized[0] version[0] of[0] a[0] charles[0] dickens[0] novel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in the original charles dickens classic an orphan boy named pip learns about life through his friendship with an escaped convict , his relationship with a bitter old lady named miss havisham , and his hopeless lifetime infatuation with havisham's snobbish adopted daughter , estella . 	in the original charles dickens classic an orphan boy named pip learns about life through his friendship with an escaped convict , his relationship with a bitter old lady named miss havisham , and his hopeless lifetime infatuation with havisham's snobbish adopted daughter , estella .	2	-4	 in[0] the[0] original[0] charles[0] dickens[0] classic[0] an[0] orphan[-1] boy[0] named[0] pip[0] learns[0] about[0] life[0] through[0] his[0] friendship[1] with[0] an[0] escaped[0] convict[-1] his[0] relationship[0] with[0] a[0] bitter[-1] old[0] lady[0] named[0] miss[-1] havisham[0] and[0] his[0] hopeless[-3] lifetime[0] infatuation[0] with[0] havisham's[0] snobbish[-2] adopted[0] daughter[0] estella[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the gist of the story is that an anonymous benefactor sends pip to london for pip to become an upper class " gentleman . " 	the gist of the story is that an anonymous benefactor sends pip to london for pip to become an upper class " gentleman .<br> "	1	-1	 the[0] gist[0] of[0] the[0] story[0] is[0] that[0] an[0] anonymous[0] benefactor[0] sends[0] pip[0] to[0] london[0] for[0] pip[0] to[0] become[0] an[0] upper[0] class[0] gentleman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pip leaves for london with " great expectations " to be groomed into a gentleman so that he can one day be classy enough to marry estella . 	pip leaves for london with " great expectations " to be groomed into a gentleman so that he can one day be classy enough to marry estella .	3	-1	 pip[0] leaves[0] for[0] london[0] with[0] great[2] expectations[0] to[0] be[0] groomed[0] into[0] a[0] gentleman[0] so[0] that[0] he[0] can[0] one[0] day[0] be[0] classy[0] enough[0] to[0] marry[0] estella[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but life has a way of complicating things . 	but life has a way of complicating things .	1	-1	 but[0] life[0] has[0] a[0] way[0] of[0] complicating[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pip becomes an arrogant s . o . b . 	pip becomes an arrogant s .<br> o .<br> b .	1	-3	 pip[0] becomes[0] an[0] arrogant[-2] s[0] [[Sentence=-3,1=word max, 1-5]] o[0] [[Sentence=-1,1=word max, 1-5]] b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
until he learns just who his secret benefactor is . 	until he learns just who his secret benefactor is .	1	-1	 until[0] he[0] learns[0] just[0] who[0] his[0] secret[0] benefactor[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this new 1998 version of great expectations a poor florida lad named finn ( ethan hawke ) with a talent for drawing has an early memory of helping an escaped convict ( robert de niro ) . 	in this new 1998 version of great expectations a poor florida lad named fin ( ethan hawke ) with a talent for drawing has an early memory of helping an escaped convict ( robert de niro ) .	3	-2	 in[0] this[0] new[0] 1998[0] version[0] of[0] great[2] expectations[0] a[0] poor[-1] florida[0] lad[0] named[0] finn/fin[0] ethan[0] hawke[0] with[0] a[0] talent[1] for[0] drawing[0] has[0] an[0] early[0] memory[0] of[0] helping[0] an[0] escaped[0] convict[-1] robert[0] de[0] niro[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but soon the focus of finn's life becomes romance , as he develops a lifelong infatuation with estella ( gwyneth paltrow ) , an upper crust girl with some psychological and emotional issues due to being raised in a dysfunctional environment . 	but soon the focus of finn's life becomes romance , as he develops a lifelong infatuation with estella ( gwyneth paltrow ) , an upper crust girl with some psychological and emotional issues due to being raised in a dysfunctional environment .	4	-2	 but[0] soon[0] the[0] focus[0] of[0] finn's[0] life[0] becomes[0] romance[3] as[0] he[0] develops[0] a[0] lifelong[0] infatuation[0] with[0] estella[0] gwyneth[0] paltrow[0] an[0] upper[0] crust[0] girl[0] with[0] some[0] psychological[0] and[0] emotional[-1] issues[0] due[0] to[0] being[0] raised[0] in[0] a[0] dysfunctional[0] environment[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
estella was raised in wealth by ms . dinsmoor ( anne bancroft ) , an eccentric , aged and embittered , man-hating single aunt whose groom left her abandoned at the altar on the day of her marriage . 	estella was raised in wealth by ms .<br> dinsmoor ( anne bancroft ) , an eccentric , aged and embittered , man-hating single aunt whose groom left her abandoned at the altar on the day of her marriage .	1	-4	 estella[0] was[0] raised[0] in[0] wealth[0] by[0] ms[0] [[Sentence=-1,1=word max, 1-5]] dinsmoor[0] anne[0] bancroft[0] an[0] eccentric[-1] aged[0] and[0] embittered[0] man[0] hating[-3] single[0] aunt[0] whose[0] groom[0] left[0] her[0] abandoned[-1] at[0] the[0] altar[0] on[0] the[0] day[0] of[0] her[0] marriage[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
