the rapid-fire formula that worked so well in airplane ! , the " police squad ! " 	Translation	Positive	Negative	EmotionRationale
television series , top secret ! , three naked gun films , and two hot shots ! 	television series , top secret !<br> , three naked gun films , and two hot shots !	1	-2	 television[0] series[0] top[0] secret[0] [[Sentence=-1,1=word max, 1-5]] three[0] naked[0] gun[-1] films[0] and[0] two[0] hot[0] shots[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
movies has finally reached a desperate dead-end with spy hard . 	movies has finally reached a desperate dead-end with spy hard .	1	-4	 movies[0] has[0] finally[0] reached[0] a[0] desperate[-2] dead[-2][-1 MultiplePositiveWords] end[0] with[0] spy[0] hard[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
even ezio gregio's the silence of the hams is arguably funnier than this over-extended spy- and action-movie spoof . 	even ezio gregio's the silence of the hams is arguably funnier than this over-extended spy- and action-movie spoof .	2	-2	 even[0] ezio[0] gregio's[0] the[0] silence[0] of[0] the[0] hams[0] is[0] arguably[-1] funnier[1] than[0] this[0] over[0] extended[0] spy[0] and[0] action[0] movie[0] spoof[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
leslie nielsen stars as secret agent wd-40 , who returns from retirement to battle his old nemesis , general rancor ( a cackling andy griffith ) . 	leslie nielsen stars as secret agent wd-40 , who returns from retirement to battle his old nemesis , general rancor ( a cackling andy griffith ) .	1	-2	 leslie[0] nielsen[0] stars[0] as[0] secret[0] agent[0] wd[0] -40[0] who[0] returns[0] from[0] retirement[-1] to[0] battle[-1] his[0] old[0] nemesis[0] general[0] rancor[0] a[0] cackling[0] andy[0] griffith[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the jokes fly in every direction and with hardly a hint of restraint , timing , or tact . 	the jokes fly in every direction and with hardly a hint of restraint , timing , or tact .	2	-1	 the[0] jokes[1] fly[0] in[0] every[0] direction[0] and[0] with[0] hardly[0] a[0] hint[0] of[0] restraint[0] timing[0] or[0] tact[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most the movie is comprised of recycled airplane and naked gun gags , recreated movie sequences , and soggy star cameos . 	most the movie is comprised of recycled airplane and naked gun gags , recreated movie sequences , and soggy star cameos .	1	-2	 most[0] the[0] movie[0] is[0] comprised[0] of[0] recycled[0] airplane[0] and[0] naked[0] gun[-1] gags[0] recreated[0] movie[0] sequences[0] and[0] soggy[0] star[0] cameos[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yeah , maybe we * do * need ray charles driving an l . a . bus bound for a speed bump , but did mr . t , hulk hogan , and dr . joyce brothers also have to appear in the same movie ? 	yeah , maybe we * do * need ray charles driving an l .<br> a .<br> bus bound for a speed bump , but did mr .<br> t , hulk hogan , and dr .<br> joyce brothers also have to appear in the same movie ?	3	-1	 yeah[0] maybe[0] we[0] do[0] need[0] ray[0] charles[0] driving[0] an[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] bus[0] bound[0] for[0] a[0] speed[0] bump[0] but[0] did[0] mr[0] [[Sentence=-1,1=word max, 1-5]] t[0] hulk[0] hogan[0] and[0] dr[0] [[Sentence=-1,1=word max, 1-5]] joyce[2] brothers[0] also[0] have[0] to[0] appear[0] in[0] the[0] same[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
leslie nielsen plays it straight with his usual dopey flair . 	leslie nielsen plays it straight with his usual dopey flair .	2	-1	 leslie[0] nielsen[0] plays[1] it[0] straight[0] with[0] his[0] usual[0] dopey[0] flair[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is something oddly inspiring about the sight of nielsen wearing a nun's habit , even the resulting sister act spoof is silly . 	there is something oddly inspiring about the sight of nielsen wearing a nun's habit , even the resulting sister act spoof is silly .	3	-2	 there[0] is[0] something[0] oddly[0] inspiring[2] about[0] the[0] sight[0] of[0] nielsen[0] wearing[0] a[0] nun's[0] habit[0] even[0] the[0] resulting[0] sister[0] act[0] spoof[0] is[0] silly[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as are the bits directly lifted from home alone , pulp fiction , true lies , etc . etc . ( adolescent males might enjoy this mess , tho . 	as are the bits directly lifted from home alone , pulp fiction , true lies , etc .<br> etc .<br> ( adolescent males might enjoy this mess , tho .	2	-3	 as[0] are[0] the[0] bits[0] directly[0] lifted[0] from[0] home[0] alone[0] pulp[0] fiction[0] true[1] lies[-2] etc[0] [[Sentence=-3,2=word max, 1-5]] etc[0] [[Sentence=-1,1=word max, 1-5]] adolescent[0] males[0] might[0] enjoy[2][-1 LastWordBoosterStrength] this[0] mess[0] tho[0] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
